"Name","Position","Year","Selection","GPYr1","PSYr1","TOIYr1","GPYr2","PSYr2","TOIYr2","GPYr3","PSYr3","TOIYr3","GPYr4","PSYr4","TOIYr4","GPYr5","PSYr5","TOIYr5","GPYr6","PSYr6","TOIYr6","GPYr7","PSYr7","TOIYr7","TOI_sum_min","GP_sum","PS_sum"
"Dylan Olsen","D",2009,28,0,-2.5,0,0,-2.5,0,28,-0.2,364.766666666667,0,-2.5,0,44,2,679.216666666667,44,1.2,699.733333333333,8,0.1,110.016666666667,1853.73333333333,124,-4.4
"Carter Ashton","RW",2009,29,0,-2.5,0,0,-2.5,0,15,-0.7,156.25,0,-2.5,0,32,0,200.75,7,-0.2,43.5666666666667,0,-2.5,0,400.566666666667,54,-10.9
"Simon Despres","D",2009,30,0,-2.5,0,0,-2.5,0,18,1.1,255.966666666667,33,1.9,498.833333333333,34,1.6,569.233333333333,16,1.1,298.583333333333,32,1.5,628.083333333333,2250.7,133,2.2
"Mikko Koskinen","G",2009,31,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Landon Ferraro","C",2009,32,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,4,-0.1,35.9,3,0.2,35.95,58,0.2,626,697.85,65,-9.7
"Ryan O'Reilly","C",2009,33,81,1.2,1358.06666666667,74,1.7,1188.23333333333,81,5.7,1581.96666666667,29,1.9,536.733333333333,80,7.1,1585.63333333333,82,5.2,1617.1,71,6.4,1543.18333333333,9410.91666666666,498,29.2
"Carl Klingberg","LW",2009,34,0,-2.5,0,1,0,10.3666666666667,6,-0.1,32.9833333333333,0,-2.5,0,3,0.3,26.6166666666667,2,-0.1,6.61666666666667,0,-2.5,0,76.5833333333334,12,-7.4
"Kyle Clifford","LW",2009,35,0,-2.5,0,76,0.8,722.35,81,0.6,761.983333333333,48,1.6,509.1,71,0.4,721.433333333333,80,1.2,859.066666666667,56,0.4,523.583333333333,4097.51666666667,412,2.5
"Chris Brown","C",2009,36,0,-2.5,0,0,-2.5,0,0,-2.5,0,5,-0.1,38.1833333333333,6,0.2,58.2333333333333,5,0.2,32.3,1,0,7.68333333333333,136.4,17,-7.2
"Mat Clark","D",2009,37,0,-2.5,0,0,-2.5,0,2,-0.1,22.05,0,-2.5,0,0,-2.5,0,7,0.3,89.4,0,-2.5,0,111.45,9,-12.3
"Alex Chiasson","RW",2009,38,0,-2.5,0,0,-2.5,0,0,-2.5,0,7,1.4,98.5666666666667,79,2.4,1194.01666666667,76,2.1,1016.6,77,0.6,1050.08333333333,3359.26666666667,239,-1
"Jakob Silfverberg","LW",2009,39,0,-2.5,0,0,-2.5,0,0,-2.5,0,48,2.4,778.983333333333,52,2.3,741.683333333333,81,4.2,1268.58333333333,82,5,1391.9,4181.15,263,6.4
"Anton Lander","C",2009,40,0,-2.5,0,0,-2.5,0,56,-0.4,594.4,11,-0.3,121.3,27,-0.9,368.233333333333,38,1.6,570.45,61,-1.1,737.016666666667,2391.4,193,-6.1
"Zach Budish","RW",2009,41,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Charles-Olivier Roussel","D",2009,42,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"William Wrenn","D",2009,43,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Drew Shore","C",2009,44,0,-2.5,0,0,-2.5,0,0,-2.5,0,43,0.4,679.7,24,0.8,287.866666666667,11,0,117.3,2,0.1,27.9833333333333,1112.85,80,-6.2
"Jeremy Morin","LW",2009,45,0,-2.5,0,9,0.4,108.866666666667,3,-0.1,26.5833333333333,3,0.3,39.0666666666667,24,1.6,219.95,28,0.4,322.566666666667,0,-2.5,0,717.033333333334,67,-2.4
"Robin Lehner","G",2009,46,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Ethan Werek","C",2009,47,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Brett Ponich","D",2009,48,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Stefan Elliott","D",2009,49,0,-2.5,0,0,-2.5,0,39,2.9,668.533333333333,18,0.6,315.083333333333,1,0.2,16.85,5,-0.1,69.6666666666667,2,-0.1,27.0166666666667,1097.15,65,-1.5
"Kenny Ryan","RW",2009,50,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Brian Dumoulin","D",2009,51,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,6,0.3,115.4,8,0.3,125.366666666667,79,3.7,1491.96666666667,1732.73333333334,93,-5.7
"Richard Panik","RW",2009,52,0,-2.5,0,0,-2.5,0,0,-2.5,0,25,0.9,283.216666666667,50,0.2,634.616666666667,76,1.4,885,30,1.2,325.016666666667,2127.85,181,-3.8
"Anton Rodin","RW",2009,53,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Eric Gelinas","D",2009,54,0,-2.5,0,0,-2.5,0,0,-2.5,0,1,-0.1,15.9833333333333,60,5.3,1015.43333333333,61,4,1004.11666666667,6,0.2,76.15,2111.68333333333,128,1.9
"Dmitry Orlov","D",2009,55,0,-2.5,0,0,-2.5,0,60,3.4,1012.48333333333,5,0.6,74.7166666666667,54,2.4,1058.28333333333,0,-2.5,0,82,5.9,1314.16666666667,3459.65,201,4.8
"Kevin Lynch","C",2009,56,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Taylor Doherty","D",2009,57,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Jesse Blacker","D",2009,58,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,1,-0.2,6.05,0,-2.5,0,6.05,1,-15.2
"Brandon Pirri","C",2009,59,0,-2.5,0,1,-0.1,8.93333333333333,5,0.2,67.5833333333333,1,0,17.9166666666667,21,1.9,292.7,49,4.2,723.716666666667,9,0.7,114.583333333333,1225.43333333333,86,4.4
"Tomas Tatar","C",2009,60,0,-2.5,0,9,0.1,86.4166666666667,0,-2.5,0,18,1,204.733333333333,73,5.3,1047.6,82,7.7,1330.3,81,5.8,1162.45,3831.5,263,14.9
"Philip Samuelsson","D",2009,61,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,5,0,77.8666666666667,4,-0.2,67.5333333333333,4,0,63.55,208.95,13,-10.2
"Anders Nilsson","G",2009,62,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Ben Hanowski","W",2009,63,0,-2.5,0,0,-2.5,0,0,-2.5,0,5,0.1,66.4666666666667,11,0,79.7166666666667,0,-2.5,0,0,-2.5,0,146.183333333333,16,-12.4
"Tyson Barrie","D",2009,64,0,-2.5,0,0,-2.5,0,10,0,176.466666666667,32,1.3,690.616666666667,64,7.6,1186.68333333333,80,9.4,1709.23333333333,78,7.2,1809.56666666667,5572.56666666666,264,20.5
"Joonas Nattinen","C",2009,65,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,1,0,1.75,0,-2.5,0,0,-2.5,0,1.75,1,-15
"Brayden McNabb","D",2009,66,0,-2.5,0,0,-2.5,0,25,1.4,445.966666666667,0,-2.5,0,12,0.4,206.733333333333,71,5,1128.83333333333,81,4.2,1524.01666666667,3305.55,189,3.5
"Josh Birkholz","RW",2009,67,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,0,-17.5
"Jamie Devane","LW",2009,68,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,2,-0.1,11.7166666666667,0,-2.5,0,0,-2.5,0,11.7166666666667,2,-15.1
"Reilly Smith","RW",2009,69,0,-2.5,0,0,-2.5,0,3,-0.2,25.2,37,0.6,403.933333333333,82,6.9,1205.91666666667,81,4.1,1247.43333333333,82,6.6,1526.1,4408.58333333333,285,13
