"DraftYr","DraftOv","Year1GAR","Year2GAR","Year3GAR","Year4GAR","Year5GAR","Year6GAR","Year7GAR","Year8GAR","Year9GAR","Year10GAR","Year11GAR","Year12GAR","Year13GAR","Year14GAR","Year15GAR","Year16GAR","GARsum","GARsum1_6","GARsum1_7"
2009,1,4.9,3.7,18.8,9.6,8.9,13.1,11.6,9.9,8.3,19.5,9.98567335243553,11.8607142857143,12.2,10.3,8.3,16.6,59,59,70.6
2009,2,5.6,11.1,6.1,9.7,11.1,11.4,13,22.5,10.2,17,21.2636103151862,13.6178571428571,19.8,-2.4,7.5,8.8,55,55,68
2009,3,12.4,15.3,4,6.5,20.1,8.7,8,2.8,8.8,17.4,11.9828080229226,3.36785714285714,17.4,8.3,10.2,15.1,67,67,75
2009,4,4.2,10.7,19.7,4.8,2.3,-1,-6.1,-1.6,5.2,10.8,3.17191977077364,8.34642857142857,2,-6.3,-6.1,-22.5,40.7,40.7,34.6
2009,5,-22.5,0.2,-0.9,5.8,8.3,4.4,9.6,7.2,11,9.8,9.63323782234957,2.19642857142857,6.4,0.1,1.9,6.4,-4.7,-4.7,4.9
2009,6,-22.5,6.5,9.9,5.6,10.3,2.2,25.4,3.5,11,-2.4,4.22922636103152,-0.146428571428571,6.1,-0.5,4.7,6.4,12,12,37.4
2009,7,-22.5,-0.1,4.7,19.6,8.8,8.2,8,13.2,4.6,1.7,14.214899713467,0.878571428571428,21.7,6.4,19.4,4,18.7,18.7,26.7
2009,8,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-135,-135,-157.5
2009,9,-22.5,-22.5,-4.4,-0.3,-3.5,3.1,1.1,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-50.1,-50.1,-49
2009,10,-22.5,3.3,-2.1,3.1,0.1,-1.4,-0.7,6.8,-3.2,-1.4,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-19.5,-19.5,-20.2
2009,11,-22.5,-22.5,5.1,3.5,21.3,10.5,17.7,9,12.4,11.4,27.2550143266476,5.27142857142857,0.3,-22.5,-22.5,-22.5,-4.6,-4.6,13.1
2009,12,-22.5,-22.5,-22.5,-22.5,2.9,0.6,3.6,13.6,6.9,0.3,0.587392550143267,2.05,-1.5,3.7,1,2.8,-86.5,-86.5,-82.9
2009,13,-22.5,-22.5,-0.6,-4.1,5.7,1.6,-3.9,1.2,-5,0.8,5.5214899713467,-3.66071428571429,1.8,-11.1,-22.5,-22.5,-42.4,-42.4,-46.3
2009,14,-2.2,4.6,11,1.8,-1.7,1.3,1.9,-7.4,2.3,-2,-3.28939828080229,4.53928571428571,6.3,-4.7,2.4,0.2,14.8,14.8,16.7
2009,15,-22.5,-22.5,-22.5,1.9,-0.8,1.3,-0.9,-2.7,-5.8,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-65.1,-65.1,-66
2009,16,-22.5,1.7,6.1,1.1,8.6,6.7,2.4,-1.4,-0.9,1.2,0.587392550143267,6.73571428571428,-6,8.5,-1,3.7,1.7,1.7,4.1
2009,17,-22.5,-22.5,-3.4,-2.2,-3.3,7,-2.3,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-46.9,-46.9,-49.2
2009,18,-22.5,-22.5,1.2,-22.5,0.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-88.3,-88.3,-110.8
2009,19,-22.5,-22.5,-22.5,-1.6,4.9,5.7,12.4,10.9,8.9,15.8,8.92836676217765,10.5428571428571,8.3,12.1,12,1.3,-58.5,-58.5,-46.1
2009,20,-22.5,3,0.9,-2.5,0,-1.8,0.8,0.6,-2.8,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-22.9,-22.9,-22.1
2009,21,-22.5,-22.5,-9.2,5.4,-2.1,-0.4,-1.3,-3.1,-5.9,-3.3,-0.469914040114613,-0.292857142857143,-0.9,-22.5,-22.5,-22.5,-51.3,-51.3,-52.6
2009,22,-22.5,-22.5,-22.5,0,0.6,4.4,1.3,2.5,-3.4,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-62.5,-62.5,-61.2
2009,23,-22.5,-22.5,-2.7,3.8,-22.5,-5.1,-22.5,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-71.5,-71.5,-94
2009,24,-22.5,6.2,7.4,4.5,6.9,9.6,8.4,19.4,-2.9,0.2,2.58452722063037,-3.66071428571429,3.5,13.6,1.5,1.7,12.1,12.1,20.5
2009,25,-22.5,1.5,-0.2,-1.4,-7.2,-1.1,-22.5,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-30.9,-30.9,-53.4
2009,26,-22.5,-0.4,2.9,3.2,4.3,1.2,17.5,14,7.6,13.2,13.8624641833811,-6.44285714285714,8.1,6,6.7,2.8,-11.3,-11.3,6.2
2009,27,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-135,-135,-157.5
2009,28,-22.5,-22.5,-3.4,-22.5,2.9,-1.3,0,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-69.3,-69.3,-69.3
2009,29,-22.5,-22.5,-4.1,-22.5,0.7,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-93.4,-93.4,-115.9
2009,30,-22.5,-22.5,1.8,4.8,2.2,6.7,3.2,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-29.5,-29.5,-26.3
2009,31,-22.5,-4.8,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,6.1,17.1518624641834,-3.22142857142857,6.9,-22.5,-22.5,-22.5,-117.3,-117.3,-139.8
2009,32,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-1.8,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-135,-135,-136.8
2009,33,-0.1,4.2,14.7,8.1,13.8,17.4,12.1,14.7,10.1,21.9,18.0916905444126,13.1785714285714,12.4,4.9,16.2,7.5,58.1,58.1,70.2
2009,34,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-135,-135,-157.5
2009,35,-22.5,-0.3,-1.3,2.4,1,4.1,-0.7,-2.6,-1.4,0.4,2.46704871060172,-3.66071428571429,-0.3,-22.5,-22.5,-22.5,-16.6,-16.6,-17.3
2009,36,-22.5,-22.5,-22.5,-22.5,-0.8,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-113.3,-113.3,-135.8
2009,37,-22.5,-22.5,-22.5,-22.5,-22.5,0.7,-22.5,-22.5,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-111.8,-111.8,-134.3
2009,38,-22.5,-22.5,-22.5,0.8,1.7,-3.1,2.2,4.9,-0.8,3.8,4.81661891117479,2.34285714285714,4.9,-0.7,-22.5,-22.5,-68.1,-68.1,-65.9
2009,39,-22.5,-22.5,-22.5,0.2,1.2,7.3,5.4,7.4,-1.8,2.4,11.7478510028653,-6.15,1.7,-0.2,-1,-22.5,-58.8,-58.8,-53.4
2009,40,-22.5,-22.5,-4.1,-2.3,-1,0.7,-6.2,1.4,-22.5,-22.5,-26.432664756447,-32.9464285714286,-22.5,-22.5,-22.5,-22.5,-51.7,-51.7,-57.9
