overall,expected_draft_value,value_ceiling_95pct,value_floor_5pct,raw_model_output,raw_floor_5pct,raw_ceiling_95pct
1,100.0,108.34157633945198,91.99123450535072,68.44586128808342,62.964192766727884,74.1553250586243
2,90.33331327204633,95.32456697424304,85.42959244559962,61.829414299114674,58.47302034429011,65.24572088465656
3,83.64751981219821,88.42038853025512,78.85050148672964,57.25326538157929,53.96990487256512,60.520096483802845
4,79.08722479030736,83.4075836029262,74.77033045714983,54.1319321765685,51.17719666934236,57.08903897660108
5,75.79703337622549,79.34692212766618,72.28248757293142,51.879932325173584,49.47437117974478,54.30968425586596
6,73.05548521669908,76.23365569459325,69.90173186572017,50.00345607475814,47.84484243077883,52.178782231556404
7,70.67685786605345,73.7648975870477,67.6519330951476,48.37538409777483,46.304948285011726,50.48901948172746
8,68.60936335550873,71.69279530939369,65.56055650467366,46.96026967294864,44.87348756488448,49.070751231017184
9,66.80121371628496,69.907547148245,63.74432236017629,45.72266607900456,43.63035046167501,47.84882275098929
10,65.20062097960223,68.23742694381978,62.217290553551514,44.62712659466756,42.585160389487704,46.705694592524154
11,63.75579717668065,66.68617717967045,60.857882632614135,43.638204498662645,41.65470192958368,45.64392833072277
12,62.414954338740266,65.14940001790562,59.65317695029756,42.72045306971477,40.83013074933562,44.59206796627428
13,61.12630449700117,63.69236839622955,58.526212720800494,41.83842558654892,40.05877037604774,43.594790123578356
14,59.83805968268347,62.32265630746947,57.326334801466814,40.956675327890096,39.23750359975427,42.65727888725953
15,58.4984319270072,60.95125937481982,56.006335280769164,40.03975557246326,38.334018558814186,41.71861444502912
16,57.066683438954584,59.519622513551724,54.57775959704152,39.05978298833653,37.356217627934676,40.738718264816484
17,55.546277138556285,58.004213701781026,53.040008701875664,38.01912780095063,36.30369078327319,39.701483651564516
18,53.951726123605056,56.413879241260624,51.436934981429125,36.927723625089385,35.20645316823064,38.61296553270014
19,52.29754349189368,54.72269307077957,49.80488592391841,35.79550407553665,34.08938313417338,37.45541859232942
20,50.59824234121493,52.97289849297824,48.12537785646567,34.632402767076265,32.93982937200251,36.257756622781116
21,48.868335769361565,51.17139651865005,46.45053516462065,33.44835331449207,31.793468866348668,35.02470308033036
22,47.122336874126354,49.34083169200558,44.79760270028621,32.25328933256791,30.662105004624614,33.77175721829684
23,45.37475875330211,47.46971919824452,43.15875988943829,31.05714443608765,29.54038492758191,32.49105815627315
24,43.64011450468155,45.624638476501495,41.544758041415555,29.869852239835105,28.43566746149717,31.22817676481575
25,41.93291722605748,43.794601867895985,39.97683714438707,28.701346358594137,27.362490499210185,29.975592446168474
26,40.267680015222645,42.015106975457385,38.432558347472614,27.56156040714858,26.30549557597283,28.757601840461426
27,38.65891596996984,40.30005107676424,36.94697532821297,26.46042800028229,25.288675483291055,27.58371705902882
28,37.12113818809182,38.66759988060743,35.50809183772619,25.40788275277909,24.30381928529534,26.466371777711675
29,35.66885976738137,37.13868432648251,34.143433271887666,24.413858279422847,23.369766976265556,25.419892358323402
30,34.31659380563125,35.74197543506123,32.839450176994205,23.488288194997395,22.477244515914716,24.46390292790286
31,33.07548290016682,34.46583695636888,31.644821455878873,22.638799146211934,21.659570598552513,23.590438954933237
32,31.943187646443686,33.32247060791542,30.538528315653885,21.863789907477045,20.902358730354536,22.80785201005616
33,30.913998139450104,32.29291037471074,29.514402903531156,21.159352285128705,20.201387271357,22.103160640959615
34,29.982204474174214,31.364623561410113,28.564613230914496,20.521578085502824,19.55129554950926,21.467786736372293
35,29.142096745604277,30.539263126676037,27.714198782279478,19.946559114935376,18.969222055622716,20.902861678087486
36,28.387965048728482,29.796287964168574,26.955168639626557,19.4303871797623,18.449697337047755,20.394325928952718
37,27.71409947853504,29.13748908196749,26.27284087456472,18.969154086319545,17.98267222144345,19.94340535987392
38,27.114790130012153,28.546652189373457,25.6665582891306,18.558951640943054,17.567696884003407,19.539001959930186
39,26.58432709814804,28.01744944832693,25.136511054282625,18.19587164996878,17.20490148887804,19.176784585860744
40,26.117000477930898,27.54541009358326,24.683418377545753,17.876005919732666,16.894778303852256,18.853693183887728
41,25.707100364348936,27.11781746308942,24.27707347699188,17.59544625657066,16.616652036867954,18.561023725141848
42,25.34891685239037,26.744647912143662,23.930977353189768,17.350284466818714,16.379763564046925,18.30560461193215
43,25.03674003704339,26.422023097342596,23.633208340401318,17.136612356812766,16.17595299859485,18.084781278712477
44,24.76486001329622,26.13911420372238,23.37603697849196,16.95052173288877,15.999929844949696,17.89114184981353
45,24.527566876137065,25.889180365818167,23.15889331061244,16.78810440138267,15.851303991237021,17.72007248180963
46,24.31915072055412,25.65580708955222,22.968482081843536,16.645452168630413,15.720975385716923,17.560338132853186
47,24.133901641535612,25.44451441554859,22.80473879608636,16.518656840967953,15.608899883479015,17.415717042292776
48,23.966109734069732,25.26582895256785,22.660071268810356,16.403810224731227,15.50988094843078,17.293414238159013
49,23.810065093144704,25.080030262918097,22.515735066116658,16.297004126256194,15.411088791346565,17.166242724766263
50,23.660057813748715,24.912343681025135,22.383180758918314,16.19433035187879,15.32036085411021,17.05146819952508
51,23.51133308743042,24.74994078906893,22.247667607065182,16.092534432001884,15.227607710165703,16.940310141368897
52,23.362956491980135,24.589639256076094,22.12008663943747,15.990976793296003,15.140283818033245,16.83059037645395
53,23.214948701748643,24.435635879753697,21.984775451088815,15.889671586498597,15.047668909748866,16.72518143911736
54,23.06733039108671,24.271045890130754,21.850338492983898,15.788632962347119,14.955652375884457,16.61252640312597
55,22.920122234345087,24.10964734787532,21.71745445659118,15.687875071579002,14.86469875266109,16.502055780772825
56,22.77334490587455,23.954654649354904,21.580809000333197,15.587412064931705,14.771170593214283,16.395969693336884
57,22.627019080025853,23.79461243309572,21.448927402169875,15.487258093142666,14.680903097470907,16.286427419993746
58,22.481165431149783,23.638654644383774,21.314204468751814,15.387427306949341,14.588690825340345,16.179680768264006
59,22.335804633597085,23.48330265616271,21.18342238353898,15.28793385708917,14.499175900705906,16.07334876189794
60,22.19095736171853,23.327620847157466,21.042436313152546,15.188791894299602,14.402676770533688,15.96679100685543
61,22.046644289864886,23.177609935179856,20.90601438173483,15.090015569318084,14.309301604588994,15.864114746126246
62,21.90288609238691,23.0246806349921,20.771816160140613,14.991619032882062,14.21744847598554,15.759440969450898
63,21.75970344363538,22.87759736157038,20.635242188065043,14.893616435728985,14.12396924450307,15.658768556146695
64,21.617117017961053,22.731165377749484,20.502560686955626,14.796021928596298,14.033154248298771,15.558541923619256
65,21.475147489714697,22.582864914097605,20.360855729183296,14.69884966222145,13.936163069463584,15.457036393978505
66,21.333815533247073,22.434747341624778,20.228098390948116,14.602113787341887,13.845296165885381,15.35565604578048
67,21.19314182290895,22.288948275045023,20.089853414268593,14.505828454695054,13.750673200909574,15.255862618909978
68,21.05314703305109,22.14124722277983,19.96064246788859,14.410007815018398,13.662233655781295,15.154767361555505
69,20.913851838024257,21.989214159197232,19.82590133596409,14.314666019049369,13.57000892752626,15.050707021743737
70,20.775276912179226,21.84513407469414,19.69699802970318,14.219817217525415,13.481779949327162,14.952090166960998
71,20.63744292986675,21.700351475747656,19.563174281773325,14.125475561183976,13.39018313244858,14.852992470116803
72,20.500370565437606,21.553874732337924,19.437262407885125,14.031655200762508,13.304001665901838,14.752735201503278
73,20.36408049324255,21.407313318475893,19.31218314016819,13.938370286998449,13.218390083820152,14.65241997946942
74,20.22859338763235,21.266306710384804,19.182738821357717,13.845634970629254,13.129790804921832,14.555906792088358
75,20.093929922957766,21.13235383300206,19.05295305762543,13.75346340239236,13.04095782110595,14.46422159144357
76,19.96011077356958,20.99329547623194,18.9257072812991,13.661869733025227,12.953863353546685,14.369041901459203
77,19.827156613818538,20.853965161143794,18.798929115256048,13.570868113265295,12.867088945873281,14.273676067261725
78,19.69508811805541,20.715705229972837,18.670230027691108,13.480472693850004,12.778999746919554,14.17904286655545
79,19.563925960630964,20.579618406821712,18.541790123531328,13.390697625516811,12.691087948279803,14.085897068350073
80,19.433690815895968,20.44675594846316,18.420619764327082,13.301557059003162,12.608151852296594,13.994958214398041
81,19.30440335820118,20.3126556890085,18.294112185415024,13.2130651450465,12.521562650315534,13.903172136824743
82,19.176084261897373,20.183408017146977,18.171143385227413,13.12523603438427,12.4373955959115,13.814707454624328
83,19.04875420133531,20.049382040739562,18.04600854302035,13.038083877753929,12.351745975391394,13.72297222072251
84,18.92243385086575,19.921182767295445,17.92058408208503,12.951622825892914,12.265898122838275,13.635225123848619
85,18.797143884839464,19.79346913999892,17.7924088247298,12.865867029538675,12.178167463983273,13.547810431663258
86,18.672904977607214,19.668288379301696,17.668002752781184,12.78083063942866,12.093016656543371,13.46212938183707
87,18.549737803519772,19.54367979237646,17.5506903347201,12.696527806300315,12.012721161603585,13.376839961277181
88,18.427663036927896,19.41882462392755,17.434245724474593,12.612972680891088,11.933019645197493,13.291381765869637
89,18.306701352182355,19.291188511079163,17.313322446239,12.530179413938427,11.850252665911357,13.20402012911593
90,18.18687342363391,19.165813750621865,17.19941656185166,12.448162156179773,11.772288802284633,13.11820629448306
91,18.068199925633326,19.045288563608224,17.085174984996595,12.366935058352578,11.694095171057098,13.035711792162502
92,17.950701532531372,18.926252038699197,16.969377852442765,12.286512271194288,11.614836826333724,12.954236217441112
93,17.834398918678808,18.807655533055257,16.850552215913122,12.206907945442348,11.533505595979964,12.873061817695548
94,17.719312758426412,18.696569446552335,16.734106003685127,12.12813623183421,11.453802983083163,12.797027989017398
95,17.605463726124942,18.581795012398903,16.620902439925263,12.05021128110732,11.376319828858918,12.718469639022558
96,17.492872496125145,18.46892749095084,16.50868805864402,11.973147243999113,11.299513729101877,12.641216491852918
97,17.381559742777817,18.358220685040312,16.403743339551383,11.896958271247055,11.227683412242563,12.565442265042929
98,17.271546140433706,18.249322623969345,16.29609190133802,11.821658513588579,11.154000458168419,12.490906049216882
99,17.162852363443573,18.137503369446502,16.191371257505082,11.747262121761135,11.082323511550538,12.414370397372808
100,17.055499086158196,18.030649553356284,16.089806526799602,11.673783246502175,11.012806656854247,12.341233382630676
101,16.949500801412626,17.922636388863125,15.988643143409094,11.601231807557474,10.94356450778445,12.267302841888819
102,16.844847275979095,17.817022289150437,15.884766723705324,11.52960080070615,10.87246539764298,12.195014361698814
103,16.741522095114117,17.71161054161641,15.780685283025484,11.458878990735645,10.801225959128617,12.122864383200328
104,16.63950884407421,17.6100071142092,15.679969807041433,11.389055142433408,10.73229038414094,12.053321042213252
105,16.538791108115905,17.50974550366007,15.580137509269472,11.320118020586888,10.663959308087238,11.984696119331595
106,16.439352472495717,17.405400605270167,15.484953976787558,11.252056389983531,10.59881011947557,11.91327635491845
107,16.341176522470164,17.303531303858318,15.38803942595616,11.184859015410781,10.532476120445542,11.843551034178956
108,16.244246843295763,17.208282936316337,15.29349905486044,11.11851466165609,10.467767149184127,11.77835746865201
109,16.148547020229046,17.10931827280247,15.197913624761139,11.053012093506903,10.40234287828674,11.710620252339087
110,16.054060638526522,17.01290899629021,15.107325752872596,10.988340075750664,10.34033922915008,11.644632092668662
111,15.96077128344472,16.92266802626753,15.01859672761766,10.924487373174825,10.279607883601821,11.582865883501917
112,15.86866254024015,16.83157827112309,14.925785906277696,10.861442750566829,10.216082717567136,11.5205187160481
113,15.77771799416934,16.734893394175394,14.835305804487676,10.799194972714124,10.154152832602623,11.454341919285925
114,15.687921230488811,16.642334612525143,14.746268151549188,10.73773280440416,10.09321024417818,11.390989263987656
115,15.599255834455082,16.551683224943304,14.659397074175073,10.677045010424385,10.033750587059231,11.328942140987667
116,15.511705391324668,16.46460004819876,14.571941034040092,10.617120355562239,9.97389054714039,11.269337310627842
117,15.425253486354093,16.37837544778792,14.486115676366234,10.557947604605175,9.915146641876941,11.210320140234433
118,15.339883704799881,16.294759577798384,14.405180141803017,10.499515522340639,9.859749618157032,11.15308853784657
119,15.255579631918543,16.209912461378146,14.319063935690005,10.441812873556074,9.80080663917436,11.095014198234635
120,15.172324852966613,16.12709656656129,14.238811445218005,10.384828423038934,9.745877130865662,11.038330145743803
121,15.090102953200594,16.04410517721926,14.1592105624451,10.328550935576658,9.691393621058829,10.981525974513707
122,15.008897517877022,15.958805357765412,14.079644013714182,10.272969175956703,9.63693361148275,10.923141778411338
123,14.928692132252408,15.878234248599904,14.003161828060023,10.218071908966506,9.58458472077981,10.867994188793645
124,14.849470381583275,15.802060364749892,13.924822675240433,10.16384789939352,9.530964812906653,10.81585631791592
125,14.771215851126145,15.723510797244801,13.845587667637062,10.110285912025192,9.476731729510847,10.762092389898996
