DraftYr,DraftOv,Year1GAR,Year2GAR,Year3GAR,Year4GAR,Year5GAR,Year6GAR,Year7GAR,Year8GAR,Year9GAR,Year10GAR,Year11GAR,Year12GAR,Year13GAR,Year14GAR,Year15GAR,Year16GAR,GARsum,GARsum1_6
2009,28,-22.5,-22.5,-3.4,-22.5,2.9,-1.3,0,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-69.3,-69.3
2009,29,-22.5,-22.5,-4.1,-22.5,0.7,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-93.4,-93.39999999999999
2009,30,-22.5,-22.5,1.8,4.8,2.2,6.7,3.2,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-29.500000000000004,-29.500000000000004
2009,31,-22.5,-4.8,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,6.1,17.15186246418338,-3.2214285714285715,6.9,-22.5,-22.5,-22.5,-117.3,-117.3
2009,32,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-1.8,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-135,-135
2009,33,-0.1,4.2,14.7,8.1,13.8,17.4,12.1,14.7,10.1,21.9,18.09169054441261,13.178571428571427,12.4,4.9,16.2,7.5,58.1,58.1
2009,34,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-135,-135
2009,35,-22.5,-0.3,-1.3,2.4,1,4.1,-0.7,-2.6,-1.4,0.4,2.4670487106017194,-3.6607142857142856,-0.3,-22.5,-22.5,-22.5,-16.6,-16.6
2009,36,-22.5,-22.5,-22.5,-22.5,-0.8,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-113.3,-113.3
2009,37,-22.5,-22.5,-22.5,-22.5,-22.5,0.7,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-111.8,-111.8
2009,38,-22.5,-22.5,-22.5,0.8,1.7,-3.1,2.2,4.9,-0.8,3.8,4.8166189111747855,2.342857142857143,4.9,-0.7,-22.5,-22.5,-68.1,-68.1
2009,39,-22.5,-22.5,-22.5,0.2,1.2,7.3,5.4,7.4,-1.8,2.4,11.74785100286533,-6.1499999999999995,1.7,-0.2,-1,-22.5,-58.8,-58.8
2009,40,-22.5,-22.5,-4.1,-2.3,-1,0.7,-6.2,1.4,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-51.7,-51.699999999999996
2009,41,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-135,-135
2009,42,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-135,-135
2009,43,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-135,-135
2009,44,-22.5,-22.5,-22.5,3,-1,0.1,-22.5,-0.4,-22.5,-22.5,-26.432664756446993,-32.94642857142857,-22.5,-22.5,-22.5,-22.5,-65.4,-65.4
