test_year,n_train,n_test,rmse_normalized,weighted_rmse_normalized,rmse_raw,weighted_rmse_raw
2009,1889,210,17.74765877526114,173.84516514887264,99.17803272462862,971.4870956493056
2010,1889,210,14.985144425849425,152.52578827254985,83.74046194317326,852.349473933479
2011,1890,209,17.43131084387685,168.7878064213781,97.41020712641883,943.2254023337456
2012,1889,210,18.18590905310506,175.5846642432634,101.62707690267924,981.2078199596259
2013,1889,210,17.606641557907057,183.17233352746854,98.00254807378903,1019.5786268081312
2014,1889,210,15.592717542759424,146.99883236612965,87.13572141004444,821.4635626876191
2015,1889,210,18.978421947254354,188.57578697204437,106.0558227302805,1053.8052262677008
2016,1889,210,16.44974452165376,173.06276861780253,91.92498690331348,967.114882404465
2017,1889,210,14.66456325823412,141.64410964062785,81.94898003926325,791.540130395727
2018,1889,210,15.312505766344607,151.48791753897373,85.56983302538418,846.5496116033542
