overall,raw_model_output,scaled_curve,shift_value,epsilon_added,raw_sum,adjusted_sum,metric
1,86.79685850088242,29.301633771725413,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
2,80.04896067463615,27.023620094171864,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
3,74.72059512511383,25.224824393145497,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
4,70.46469684524932,23.788081463503193,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
5,66.93420082797655,22.59622610010188,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
6,63.832904408524215,21.549263646968488,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
7,61.06805429130008,20.61588164481008,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
8,58.597759523006765,19.781938183503765,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
9,56.38012915034683,19.033291352926646,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
10,54.37327222002288,18.35579924295583,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
11,52.53529777873749,17.73531994346841,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
12,50.824314873193245,17.157711544341495,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
13,49.198432550092726,16.608832135452182,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
14,47.61575985613856,16.074539806677592,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
15,46.03440583803328,15.54069264789481,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
16,44.4210453875992,14.996040481020305,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
17,42.77661677713736,14.440900056127967,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
18,41.11062412406851,13.87847985533104,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
19,39.4325715458134,13.311988360742777,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
20,37.75196315979278,12.744634054476426,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
21,36.07830308342739,12.179625418645234,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
22,34.421095434137996,11.620170935362454,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
23,32.78984432934534,11.069479086741332,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
24,31.19405388647016,10.530758354895113,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
25,29.643228222933207,10.007217221937047,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
26,28.14687145615524,9.502064169980386,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
27,26.71448770355699,9.018507681138376,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
28,25.355581082559222,8.559756237524265,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
29,24.07965571058269,8.129018321251307,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
30,22.89621570504811,7.72950241443274,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
31,21.812333641242287,7.363596138169788,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
32,20.825355925916007,7.030403669515513,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
33,19.930197423686128,6.728208324510952,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
34,19.121772999169483,6.45529341919714,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
35,18.394997516982905,6.209942269615111,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
36,17.74478584174323,5.9904381918058975,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
37,17.166052838067298,5.7950645018105345,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
38,16.65371337057194,5.622104515670054,0.0,0.0,2962.1849476747257,2962.1849476747257,GP
