overall,raw_model_output,scaled_curve,shift_value,epsilon_added,raw_sum,adjusted_sum,metric
1,86.79685850088242,28.880804732263456,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
2,80.04896067463615,26.63550780747784,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
3,74.72059512511383,24.862546347400237,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
4,70.46469684524932,23.446437869466173,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
5,66.93420082797655,22.271699891111208,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
6,63.832904408524215,21.239773876114242,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
7,61.06805429130008,20.31979707362762,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
8,58.597759523006765,19.497830679147043,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
9,56.38012915034683,18.759935888168204,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
10,54.37327222002288,18.09217389618682,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
11,52.53529777873749,17.480605898698585,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
12,50.824314873193245,16.9112930911992,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
13,49.198432550092726,16.37029666918437,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
14,47.61575985613856,15.843677828149806,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
15,46.03440583803328,15.317497763591197,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
16,44.4210453875992,14.780667872089197,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
17,42.77661677713736,14.233500354564205,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
18,41.11062412406851,13.679157613021573,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
19,39.4325715458134,13.120802049466652,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
20,37.75196315979278,12.561596065904787,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
21,36.07830308342739,12.004702064341327,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
22,34.421095434137996,11.453282446781621,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
23,32.78984432934534,10.910499615231021,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
24,31.19405388647016,10.37951597169487,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
25,29.643228222933207,9.863493918178516,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
26,28.14687145615524,9.365595856687314,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
27,26.71448770355699,8.888984189226605,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
28,25.355581082559222,8.436821317801742,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
29,24.07965571058269,8.012269644418076,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
30,22.89621570504811,7.618491571080947,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
31,21.812333641242287,7.257840427960826,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
32,20.825355925916007,6.929433257888604,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
33,19.930197423686128,6.631578031860306,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
34,19.121772999169483,6.362582720871944,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
35,18.394997516982905,6.120755295919533,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
36,17.74478584174323,5.904403727999088,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
37,17.166052838067298,5.711835988106624,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
38,16.65371337057194,5.541360047238155,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
39,16.202682303874003,5.391283876389701,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
40,15.80787450259032,5.259915446557272,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
41,15.464204831337726,5.145562728736887,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
42,15.166588154733056,5.046533693924558,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
43,14.90993933739315,4.9611363131163015,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
44,14.689173243934842,4.887678557308133,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
45,14.49920473897497,4.824468397496067,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
46,14.334948687130373,4.769813804676119,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
47,14.191319953017883,4.722022749844303,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
48,14.06323340125434,4.679403203996636,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
49,13.945603896456582,4.640263138129133,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
50,13.83334630324144,4.6029105232378065,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
51,13.722225604779172,4.565936198942777,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
52,13.611407258453667,4.529062479360555,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
53,13.500906840202244,4.492294547231763,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
54,13.390739925962205,4.455637585297015,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
55,13.280922091670858,4.419096776296927,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
56,13.17146891326552,4.382677302972117,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
57,13.062395966683496,4.346384348063202,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
58,12.953718827862096,4.310223094310797,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
59,12.84545307273863,4.2741987244555215,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
60,12.73761427725041,4.2383164212379905,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
61,12.630218017334744,4.202581367398822,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
62,12.52327986892894,4.16699874567863,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
63,12.41681540797031,4.131573738818035,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
64,12.310840210396163,4.096311529557652,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
65,12.205369852143807,4.061217300638098,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
66,12.100419909150556,4.0262962347999895,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
67,11.996005957353717,3.991553514783944,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
68,11.892143572690596,3.956994323330577,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
69,11.78884833109851,3.9226238431805065,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
70,11.686135808514766,3.88844725707435,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
71,11.584021580876668,3.854469747752721,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
72,11.482521224121534,3.82069649795624,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
73,11.38165031418667,3.7871326904255227,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
74,11.281424427009387,3.7537835079011854,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
75,11.18185913852699,3.7206541331238445,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
76,11.082970024676795,3.687749748834118,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
77,10.984772661396113,3.655075537772623,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
78,10.887282624622244,3.6226366826799743,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
79,10.790515490292504,3.59043836629679,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
80,10.694486834344204,3.5584857713636864,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
81,10.59921223271465,3.526784080621281,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
82,10.504707261341157,3.4953384768101903,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
83,10.410987496161026,3.46415414267103,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
84,10.318068513111577,3.4332362609444194,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
85,10.225965888130109,3.402590014370972,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
86,10.134695197153942,3.372220585691308,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
87,10.044272016120376,3.342133157646041,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
88,9.954711920966728,3.31233291297579,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
89,9.866030487630312,3.2828250344211733,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
90,9.778243292048424,3.253614704722804,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
91,9.691365910158384,3.2247071066213007,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
92,9.605413917897495,3.1961074228572794,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
93,9.520402891203071,3.1678208361713573,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
94,9.436348406012424,3.1398525293041533,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
95,9.353266038262856,3.11220768499628,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
96,9.271171363891684,3.084891485988358,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
97,9.190079958836211,3.057909115021001,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
98,9.110007399033757,3.0312657548348296,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
99,9.030969260421625,3.004966588170458,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
100,8.952981118937121,2.9790167977685025,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
101,8.876053294478236,2.9534198174739643,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
102,8.800175082785671,2.9281720855493805,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
103,8.725330523560789,2.903268291361666,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
104,8.651503656504975,2.878703124277744,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
105,8.578678521319592,2.854471273664529,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
106,8.506839157706022,2.830567428888943,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
107,8.435969605365633,2.8069862793179037,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
108,8.366053903999797,2.783722514318327,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
109,8.297076093309895,2.7607708232571375,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
110,8.229020212997293,2.738125895501249,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
111,8.16187030276337,2.715782420417583,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
112,8.095610402309498,2.6937350873730574,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
113,8.03022455133705,2.6719785857345912,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
114,7.965696789547398,2.650507604869103,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
115,7.902011156641918,2.6293168341435122,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
116,7.839151692321979,2.608400962924735,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
117,7.777102436288962,2.5877546805796943,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
118,7.715847428244233,2.5673726764753053,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
119,7.655370707889169,2.5472496399784887,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
120,7.595656314925145,2.527380260456163,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
121,7.536688289053531,2.5077592272752462,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
122,7.478450669975706,2.488381229802659,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
123,7.420927497393035,2.4692409574053173,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
124,7.364102811006898,2.4503330994501424,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
125,7.30796065051867,2.4316523453040526,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
126,7.252485055629718,2.4131933843339652,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
127,7.1976600660414185,2.3949509059068004,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
128,7.143469721455149,2.376919599389477,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
129,7.089898061572274,2.3590941541489125,0.0,0.0,3005.3476454525353,3005.3476454525353,GP
