"response","method","Pick","fitted_value_raw","fitted_value_scaled","shift_value","epsilon_added","raw_sum","adjusted_sum"
"GP_sum","Loess",1,331.408526054758,20.4203534213144,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",2,326.057787845856,20.0906577234051,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",3,320.737627721099,19.7628461510873,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",4,315.448242901674,19.4369308565117,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",5,310.189587784882,19.1129090297831,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",6,304.961450388281,18.7907676092086,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",7,299.763485049909,18.4704852961828,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",8,294.595164385859,18.1520295949643,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",9,289.455812293704,17.8353588462429,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",10,284.344664553913,17.5204259612096,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",11,279.260816548206,17.2071752001244,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",12,274.203325953323,16.8955484999851,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",13,269.171317843107,16.5854919505873,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",14,264.163888496929,16.2769498675018,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",15,259.180132371843,15.9698664540139,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",16,254.219050665214,15.6641801670394,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",17,249.279595210702,15.3598264218575,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",18,244.360631414276,15.0567353083444,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",19,239.460997898355,14.7548352660579,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",20,234.57960600706,14.454059215439,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",21,229.715451597621,14.1543452843612,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",22,224.867478781196,13.8556284122673,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",23,220.034638204814,13.5578439413202,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",24,215.215956886022,13.2609319193942,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",25,210.410498248984,12.9648346376254,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",26,205.617368343782,12.6694970136249,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",27,200.835764750435,12.3748696047917,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",28,196.064975391321,12.0809085351369,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",29,191.304420048454,11.7875780534492,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",30,186.553637414735,11.4948497354326,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",31,181.812221402755,11.2026985592552,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",32,177.079795111134,10.9111013014367,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",33,172.356240103468,10.6200506642976,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",34,167.641714563611,10.3295563946306,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",35,162.936619256082,10.0396431862878,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",36,158.241666466877,9.75035492809701,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",37,153.557934232605,9.46175804529134,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",38,148.887169295739,9.17396016666059,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",39,144.231948654982,8.88712007877843,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",40,139.596055570508,8.60147089426486,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",41,134.985169609713,8.31736257024044,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",42,130.407960447765,8.03532930488381,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",43,125.8775563574,7.75618002116463,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",44,121.413503506094,7.48111909258719,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",45,117.04420452985,7.21189660045511,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",46,112.809018271503,6.95093771315644,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",47,108.757168059175,6.70127541770815,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",48,104.937744325252,6.46593451250895,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",49,102.007714298858,6.28539525666569,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",50,99.1991515798177,6.1123404351393,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",51,96.506050869711,5.94640002028562,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",52,93.9234213743011,5.78726649502482,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",53,91.4476425052363,5.63471677006399,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",54,89.0755086515953,5.48855332571733,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",55,86.8036145810951,5.34856634225712,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",56,84.6292679919219,5.21458992849397,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",57,82.5499709321374,5.08647016846799,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",58,80.5637430032356,4.96408503623769,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",59,78.6690242340516,4.84733841127505,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",60,76.8634587430158,4.73608513155048,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",61,75.1423929070267,4.63003845541143,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",62,73.5001590215347,4.52884915668873,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",63,71.9301389769377,4.43210944823621,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",64,70.4268271563316,4.33948009121676,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",65,68.985109777006,4.25064599038672,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",66,67.6011737408422,4.16537219460548,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",67,66.2717843031648,4.08345938905669,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",68,64.9927901798223,4.00465178463759,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",69,63.7589644646015,3.92862731578928,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",70,62.5663813056133,3.8551440838376,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",71,61.4119467383691,3.78401144839957,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",72,60.2923707419098,3.71502668870771,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",73,59.2048933517415,3.64801974441064,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",74,58.1482432947556,3.58291228364864,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",75,57.1214936358309,3.51964719158824,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",76,56.1235726489142,3.4581584318331,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",77,55.1532511371375,3.39837026512941,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",78,54.2089680849831,3.34018650659942,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",79,53.289666250022,3.28354201228226,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",80,52.3960767171721,3.22848182933643,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",81,51.5277779968401,3.17497998689583,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",82,50.6832113498818,3.12294044034568,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",83,49.8609805532277,3.07227715880176,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",84,49.0597982365345,3.02291081854328,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",85,48.2798119639572,2.9748505120104,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",86,47.5205807743395,2.92806906856039,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",87,46.7820091233382,2.88256060105067,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",88,46.0643835087952,2.8383427625792,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",89,45.3682883158465,2.79545156112429,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",90,44.6939342553892,2.7538999800302,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",91,44.0419037885906,2.71372390872631,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",92,43.4134405884765,2.67499997844185,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",93,42.8107299715269,2.63786284152083,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",94,42.2349332503152,2.60238405439985,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",95,41.6865906342399,2.56859690308686,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",96,41.1660645706001,2.53652372044709,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",97,40.6739300125312,2.50619993328855,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",98,40.209535217897,2.47758538330597,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",99,39.7720779482694,2.45063063908481,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",100,39.360718952796,2.42528398862109,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",101,38.9745307251626,2.40148828188625,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",102,38.6127064650345,2.37919380637538,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",103,38.2740806283679,2.35832874492196,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",104,37.9561521622516,2.33873899049386,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",105,37.6569610494653,2.32030377298047,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",106,37.3742103422033,2.30288156166578,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",107,37.1053098991958,2.28631276017256,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",108,36.8487151237536,2.27050219529974,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",109,36.602672859977,2.25534184308216,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",110,36.3665387531419,2.2407920004037,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",111,36.1396373841188,2.22681105005704,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",112,35.9201197182315,2.21328506032768,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",113,35.7060627821647,2.20009554363417,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",114,35.4953376902826,2.18711132472407,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",115,35.2854444493299,2.17417836185789,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",116,35.075662659659,2.16125226626997,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",117,34.8658800761705,2.1483261217695,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",118,34.6556164717383,2.13537033826792,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",119,34.4445055623705,2.12236234649503,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",120,34.2320903654594,2.10927398861655,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",121,34.017419462221,2.09604664119256,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",122,33.7994314175492,2.08261490192256,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",123,33.57689073762,2.0689026435541,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",124,33.3485919213383,2.05483558689253,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",125,33.113748348038,2.04036526284081,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",126,32.8710813176848,2.02541288191535,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",127,32.6191459663423,2.00988941613437,0,0,16229.3237152713,16229.3237152713
"GP_sum","Loess",128,32.356708891197,1.99371886708689,0,0,16229.3237152713,16229.3237152713
