Selection,Response,Method,fitted_raw,fitted_adjusted,scaled_value,shift_applied,shift_value
1,TOI_sum_min,Loess,8499.025506259986,8499.025506259986,33.49782852404868,FALSE,0
2,TOI_sum_min,Loess,8144.645848682842,8144.645848682842,32.101086157151826,FALSE,0
3,TOI_sum_min,Loess,7795.3233508591065,7795.3233508591065,30.7242759424898,FALSE,0
4,TOI_sum_min,Loess,7450.518547117614,7450.518547117614,29.365271644703725,FALSE,0
5,TOI_sum_min,Loess,7109.702530105887,7109.702530105887,28.02198864270554,FALSE,0
6,TOI_sum_min,Loess,6772.535425998544,6772.535425998544,26.693087367021764,FALSE,0
7,TOI_sum_min,Loess,6439.254226566496,6439.254226566496,25.379501890587907,FALSE,0
8,TOI_sum_min,Loess,6110.414926752342,6110.414926752342,24.083423596784773,FALSE,0
9,TOI_sum_min,Loess,5786.589455248229,5786.589455248229,22.807106669841293,FALSE,0
10,TOI_sum_min,Loess,5469.33426797121,5469.33426797121,21.55668568287721,FALSE,0
11,TOI_sum_min,Loess,5165.759189742127,5165.759189742127,20.36018310652862,FALSE,0
12,TOI_sum_min,Loess,4911.379113527616,4911.379113527616,19.357576376299157,FALSE,0
13,TOI_sum_min,Loess,4666.689143343308,4666.689143343308,18.393161967052908,FALSE,0
14,TOI_sum_min,Loess,4432.379907449229,4432.379907449229,17.469661902274932,FALSE,0
15,TOI_sum_min,Loess,4212.237957969075,4212.237957969075,16.602000395764048,FALSE,0
16,TOI_sum_min,Loess,4008.522909287376,4008.522909287376,15.799083430344716,FALSE,0
17,TOI_sum_min,Loess,3824.415049120648,3824.415049120648,15.073445705731215,FALSE,0
18,TOI_sum_min,Loess,3654.7957747005703,3654.7957747005703,14.404912899856907,FALSE,0
19,TOI_sum_min,Loess,3491.390367401104,3491.390367401104,13.76087126124926,FALSE,0
20,TOI_sum_min,Loess,3331.130177292843,3331.130177292843,13.129226096339016,FALSE,0
21,TOI_sum_min,Loess,3171.5037493587365,3171.5037493587365,12.500078824465945,FALSE,0
22,TOI_sum_min,Loess,3009.0530038339307,3009.0530038339307,11.859799863873853,FALSE,0
23,TOI_sum_min,Loess,2848.8567079712734,2848.8567079712734,11.228406530009572,FALSE,0
24,TOI_sum_min,Loess,2697.068335046251,2697.068335046251,10.630151955477269,FALSE,0
25,TOI_sum_min,Loess,2561.4563395231457,2561.4563395231457,10.095654515918923,FALSE,0
26,TOI_sum_min,Loess,2443.1982597095007,2443.1982597095007,9.629555328869422,FALSE,0
27,TOI_sum_min,Loess,2338.279265158754,2338.279265158754,9.216030450542155,FALSE,0
28,TOI_sum_min,Loess,2244.46512831442,2244.46512831442,8.846273957067877,FALSE,0
29,TOI_sum_min,Loess,2163.2253713686564,2163.2253713686564,8.526077783341824,FALSE,0
30,TOI_sum_min,Loess,2097.587185878271,2097.587185878271,8.267373220028404,FALSE,0
31,TOI_sum_min,Loess,2044.0733662216965,2044.0733662216965,8.05645530323871,FALSE,0
32,TOI_sum_min,Loess,1992.368482362786,1992.368482362786,7.852667076919596,FALSE,0
33,TOI_sum_min,Loess,1940.4350814299426,1940.4350814299426,7.6479781796056985,FALSE,0
34,TOI_sum_min,Loess,1890.153131803575,1890.153131803575,7.449798267661875,FALSE,0
35,TOI_sum_min,Loess,1838.931120208073,1838.931120208073,7.247913220979857,FALSE,0
36,TOI_sum_min,Loess,1786.3023133412241,1786.3023133412241,7.040483469586303,FALSE,0
37,TOI_sum_min,Loess,1737.4693648275697,1737.4693648275697,6.848014611311995,FALSE,0
38,TOI_sum_min,Loess,1699.3399092186721,1699.3399092186721,6.697732209551767,FALSE,0
39,TOI_sum_min,Loess,1672.5495008971566,1672.5495008971566,6.592141221104636,FALSE,0
40,TOI_sum_min,Loess,1654.7390414323752,1654.7390414323752,6.521943559426091,FALSE,0
41,TOI_sum_min,Loess,1636.1910196771123,1636.1910196771123,6.448838889748315,FALSE,0
42,TOI_sum_min,Loess,1607.230739941494,1607.230739941494,6.3346956289853384,FALSE,0
43,TOI_sum_min,Loess,1571.9694689533542,1571.9694689533542,6.195717812266149,FALSE,0
44,TOI_sum_min,Loess,1537.9295221837538,1537.9295221837538,6.061553689683395,FALSE,0
45,TOI_sum_min,Loess,1505.77244075845,1505.77244075845,5.934810641480364,FALSE,0
46,TOI_sum_min,Loess,1481.0696148137822,1481.0696148137822,5.837447593570411,FALSE,0
47,TOI_sum_min,Loess,1467.5751225061974,1467.5751225061974,5.784260767738953,FALSE,0
48,TOI_sum_min,Loess,1468.3009798193807,1468.3009798193807,5.787121642058254,FALSE,0
49,TOI_sum_min,Loess,1478.7913257846262,1478.7913257846262,5.828468007008319,FALSE,0
50,TOI_sum_min,Loess,1489.7017115027152,1489.7017115027152,5.871469905243191,FALSE,0
51,TOI_sum_min,Loess,1495.9342833726942,1495.9342833726942,5.896034794901492,FALSE,0
52,TOI_sum_min,Loess,1493.6408526004789,1493.6408526004789,5.886995529084151,FALSE,0
53,TOI_sum_min,Loess,1478.2180302780826,1478.2180302780826,5.826208435654207,FALSE,0
54,TOI_sum_min,Loess,1448.1856889482951,1448.1856889482951,5.707839780412505,FALSE,0
55,TOI_sum_min,Loess,1406.1713608130062,1406.1713608130062,5.542245647486043,FALSE,0
56,TOI_sum_min,Loess,1361.4354861347465,1361.4354861347465,5.36592488485956,FALSE,0
57,TOI_sum_min,Loess,1326.679109390951,1326.679109390951,5.228937044615599,FALSE,0
58,TOI_sum_min,Loess,1303.00652170659,1303.00652170659,5.135634549831091,FALSE,0
59,TOI_sum_min,Loess,1282.0243746171545,1282.0243746171545,5.052936084606979,FALSE,0
60,TOI_sum_min,Loess,1257.960692923968,1257.960692923968,4.958092142507743,FALSE,0
61,TOI_sum_min,Loess,1221.6820077132368,1221.6820077132368,4.815104316977403,FALSE,0
