Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Riley Sutter,RW,2018,93,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Matej Pekar,C,2018,94,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jonathan Gruden,C,2018,95,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,3,0.0,15:59,13,-0.1,112:45,0,N/A,0:00
Luke Henman,C,2018,96,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Allan McShane,C,2018,97,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Ryan O'Reilly,RW,2018,98,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Stanislav Demin,D,2018,99,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Adam Mascherin,LW,2018,100,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Nico Gross,D,2018,101,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jasper Weatherby,C,2018,102,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,50,0.3,562:02,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jacob Pivonka,C,2018,103,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Lenni Killinen,RW,2018,104,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Martin Pospisil,C,2018,105,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,63,2.3,801:20,49,2.1,700:47
Curtis Douglas,C,2018,106,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Joel Hofer,G,2018,107,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Demetrios Koumontzis,LW,2018,108,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Tyler Weiss,LW,2018,109,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Xavier Bernard,D,2018,110,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jachym Kondelik,C,2018,111,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
John St. Ivany,D,2018,112,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,14,0.2,191:50,19,1.6,310:59
Aidan Dudas,C,2018,113,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Ivan Prosvetov,G,2018,114,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Paul Cotter,C,2018,115,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,7,0.3,61:41,55,1.6,705:29,76,1.1,967:16,53,2.5,716:39
Jackson Perbix,RW,2018,116,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Linus Lindstrand Cronholm,D,2018,117,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Mac Hollowell,D,2018,118,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,6,0.5,77:37,0,N/A,0:00,0,N/A,0:00
Curtis Hall,C,2018,119,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Philipp Kurashev,C,2018,120,0,N/A,0:00,0,N/A,0:00,54,1.0,706:13,67,0.8,861:13,70,0.5,1219:26,75,3.7,1426:23,35,0.6,517:04
Alexander Green,D,2018,121,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Milos Roman,C,2018,122,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jack Gorniak,LW,2018,123,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Mitchell Gibson,G,2018,124,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Miska Kukkonen,D,2018,125,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Angus Crookshank,LW,2018,126,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,13,0.2,131:28,0,N/A,0:00
Wyatte Wylie,D,2018,127,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Cole Fonstad,C,2018,128,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Justin Almeida,C,2018,129,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Toni Utunen,D,2018,130,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Spencer Stastney,D,2018,131,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,8,0.7,140:53,20,1.5,319:40,7,0.3,112:57
Lauri Pajuniemi,RW,2018,132,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Samuel Houde,C,2018,133,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
