Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Nico Hischier,C,2017,1,82,5.9,1337:22,69,4.8,1249:10,58,2.9,1047:32,21,0.7,388:52,70,5.6,1354:05,81,9.2,1562:26,71,7.0,1383:14
Nolan Patrick,C,2017,2,73,2.6,1001:55,72,2.2,1085:57,0,N/A,0:00,52,-1.1,690:26,25,0.4,287:40,0,N/A,0:00,0,N/A,0:00
Miro Heiskanen,D,2017,3,0,N/A,0:00,82,6.5,1895:17,68,7.8,1616:08,55,4.5,1373:13,70,6.6,1742:06,79,11.1,2013:48,71,7.7,1742:22
Cale Makar,D,2017,4,0,N/A,0:00,0,N/A,0:00,57,7.7,1197:36,44,7.3,1069:34,77,15.3,1976:26,60,10.5,1582:49,77,12.3,1907:16
Elias Pettersson,C,2017,5,0,N/A,0:00,71,7.8,1294:04,68,7.7,1260:07,26,2.6,482:47,80,7.4,1487:36,80,10.9,1644:23,82,9.6,1611:20
Cody Glass,C,2017,6,0,N/A,0:00,0,N/A,0:00,39,0.6,521:03,27,1.0,392:35,8,-0.1,91:16,72,3.5,1063:14,41,0.6,550:43
Lias Andersson,C,2017,7,7,0.2,83:37,42,-0.4,450:07,17,-0.5,162:15,23,0.4,277:31,20,-0.3,212:18,1,-0.1,8:37,0,N/A,0:00
Casey Mittelstadt,C,2017,8,6,0.6,84:07,77,1.4,1035:47,31,0.5,395:34,41,2.1,651:10,40,1.0,644:49,82,4.4,1289:43,18,0.7,285:37
Michael Rasmussen,C,2017,9,0,N/A,0:00,62,1.0,748:43,0,N/A,0:00,40,0.5,591:57,80,1.3,1161:27,56,2.5,844:58,75,2.8,1139:19
Owen Tippett,RW,2017,10,7,-0.2,77:49,0,N/A,0:00,0,N/A,0:00,45,1.5,516:39,21,0.5,319:05,77,4.7,1341:54,78,6.0,1293:43
Gabriel Vilardi,C,2017,11,0,N/A,0:00,0,N/A,0:00,10,0.8,128:30,54,2.0,796:35,25,0.5,337:51,63,4.8,983:01,47,4.6,799:21
Martin Necas,C,2017,12,1,0.0,6:54,7,0.2,70:10,64,3.5,906:41,53,5.1,916:27,78,3.3,1262:40,82,7.6,1509:48,77,5.0,1336:26
Nick Suzuki,C,2017,13,0,N/A,0:00,0,N/A,0:00,71,3.2,1135:16,56,4.0,1018:10,82,4.2,1681:50,82,5.4,1729:50,82,7.3,1743:39
Callan Foote,D,2017,14,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,35,1.5,451:07,56,2.1,735:03,24,1.2,386:55,4,0.4,59:04
Erik Brannstrom,D,2017,15,0,N/A,0:00,2,0.0,36:07,31,0.1,460:07,30,2.2,490:44,53,1.4,1047:34,74,3.6,1192:24,76,3.7,1260:55
Juuso Valimaki,D,2017,16,0,N/A,0:00,24,0.4,371:36,0,N/A,0:00,49,2.0,756:09,9,0.3,141:21,78,4.0,1417:40,68,3.6,1298:23
Timothy Liljegren,D,2017,17,0,N/A,0:00,0,N/A,0:00,11,-0.2,113:14,2,0.1,30:11,61,4.2,1000:25,67,5.1,1199:52,55,3.1,1081:29
Urho Vaakanainen,D,2017,18,0,N/A,0:00,2,-0.1,18:12,5,0.2,84:16,9,0.2,170:15,14,0.2,270:55,23,-0.6,378:32,68,2.5,1188:22
Joshua Norris,C,2017,19,0,N/A,0:00,0,N/A,0:00,3,0.0,53:45,56,3.5,922:14,66,6.8,1226:13,8,0.2,143:54,50,2.8,881:52
Robert Thomas,C,2017,20,0,N/A,0:00,70,2.7,915:05,66,4.1,961:12,33,0.8,448:54,72,7.3,1351:41,73,5.2,1412:04,82,8.6,1719:15
Filip Chytil,C,2017,21,9,0.0,122:29,75,0.9,1033:57,60,1.8,890:27,42,2.5,555:27,67,1.5,882:44,74,5.2,1086:36,10,0.3,159:18
Kailer Yamamoto,RW,2017,22,9,0.0,136:26,17,-0.3,222:02,27,3.7,469:24,52,1.9,850:38,81,3.4,1366:33,58,1.9,961:32,59,1.0,707:30
Pierre-Olivier Joseph,D,2017,23,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,16,0.8,268:37,4,-0.1,72:54,75,4.1,1143:41,52,1.6,784:24
Kristian Vesalainen,W,2017,24,0,N/A,0:00,5,0.0,34:12,0,N/A,0:00,12,-0.1,104:13,53,-0.6,459:32,0,N/A,0:00,0,N/A,0:00
Ryan Poehling,C,2017,25,0,N/A,0:00,1,0.7,11:22,27,-0.3,279:13,0,N/A,0:00,57,0.6,695:08,53,0.9,623:51,77,1.8,1154:40
Jake Oettinger,G,2017,26,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Morgan Frost,C,2017,27,0,N/A,0:00,0,N/A,0:00,20,0.3,273:40,2,0.0,20:28,55,0.5,765:44,81,3.8,1323:47,71,3.9,1123:43
Shane Bowers,C,2017,28,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,1:46,8,-0.1,75:39
Henri Jokiharju,D,2017,29,0,N/A,0:00,38,0.8,721:15,69,2.6,1187:58,46,1.6,845:30,60,3.1,1312:46,60,1.2,1261:28,74,4.5,1404:31
Eeli Tolvanen,RW,2017,30,3,-0.1,36:20,4,0.3,53:05,0,N/A,0:00,40,2.2,592:17,75,1.3,1007:05,48,3.2,718:53,81,3.3,1267:01
Klim Kostin,C; LW,2017,31,0,N/A,0:00,0,N/A,0:00,4,0.2,34:09,2,0.0,27:36,40,0.5,360:36,57,2.4,573:23,19,0.7,279:53
Conor Timmins,D,2017,32,0,N/A,0:00,0,N/A,0:00,2,0.2,20:49,31,1.5,420:09,6,-0.3,106:29,25,1.9,390:18,25,1.8,400:32
Kole Lind,RW,2017,33,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,7,-0.3,92:03,23,0.5,272:07,0,N/A,0:00,1,0.0,5:59
Nicolas Hague,D,2017,34,0,N/A,0:00,0,N/A,0:00,38,1.7,611:24,52,4.0,831:45,52,2.9,970:23,81,3.6,1465:22,73,2.1,1354:20
Isaac Ratcliffe,LW,2017,35,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,10,0.3,107:28,0,N/A,0:00,0,N/A,0:00
Jesper Boqvist,C,2017,36,0,N/A,0:00,0,N/A,0:00,35,-0.2,383:14,28,0.4,312:20,56,1.7,735:14,70,1.8,812:24,47,1.5,524:03
Marcus Davidsson,C,2017,37,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Gustav Lindstrom,D,2017,38,0,N/A,0:00,0,N/A,0:00,16,0.1,264:37,13,0.7,209:32,63,1.5,1015:17,36,0.3,510:06,32,1.9,494:28
Jason Robertson,LW,2017,39,0,N/A,0:00,0,N/A,0:00,3,0.0,36:58,51,5.6,861:13,74,10.1,1340:20,82,13.9,1544:47,82,8.5,1502:38
Aleksi Heponiemi,C,2017,40,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,9,0.1,110:08,6,-0.3,84:10,10,0.2,85:53,0,N/A,0:00
Jaret Anderson-Dolan,C,2017,41,0,N/A,0:00,5,-0.1,58:01,4,-0.1,41:02,34,0.9,459:20,7,-0.3,96:32,46,0.6,488:24,1,-0.1,13:39
Eetu Luostarinen,C,2017,42,0,N/A,0:00,0,N/A,0:00,8,-0.1,79:51,44,-0.4,578:01,78,1.2,1048:03,82,4.0,1310:50,82,1.8,1306:48
Dylan Samberg,D,2017,43,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,15,0.9,222:48,63,2.9,940:20,78,3.9,1218:48
Filip Westerlund,D,2017,44,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Alexandre Texier,C,2017,45,0,N/A,0:00,2,0.3,25:32,36,1.4,458:56,49,0.2,776:08,36,2.1,525:52,0,N/A,0:00,78,1.9,1184:06
Robin Salo,D,2017,46,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,21,0.6,350:31,11,0.8,122:56,0,N/A,0:00
Alex Formenton,LW,2017,47,1,0.0,4:54,9,-0.1,105:01,0,N/A,0:00,20,0.9,239:53,79,2.7,1220:41,0,N/A,0:00,0,N/A,0:00
Alexander Volkov,RW,2017,48,0,N/A,0:00,0,N/A,0:00,9,-0.3,92:21,18,0.9,249:56,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Mario Ferraro,D,2017,49,0,N/A,0:00,0,N/A,0:00,61,1.6,969:08,56,2.6,1255:50,63,3.5,1449:12,72,0.9,1555:26,78,2.3,1783:49
Maxime Comtois,LW,2017,50,0,N/A,0:00,10,0.8,145:54,29,0.9,405:14,55,4.0,850:59,52,0.4,735:02,64,0.5,883:52,1,0.1,13:04
Zachary Lauzon,D,2017,51,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Luke Martin,D,2017,52,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jack Studnicka,C,2017,53,0,N/A,0:00,0,N/A,0:00,2,0.1,24:15,20,-0.1,255:00,15,-0.2,188:52,47,-0.2,500:32,17,-0.8,200:59
Ukko-Pekka Luukkonen,G,2017,54,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jonah Gadjovich,LW,2017,55,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,4:55,43,-0.4,376:30,35,0.4,314:42,39,0.1,289:49
Josh Brook,D,2017,56,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Ian Mitchell,D,2017,57,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,39,0.8,586:05,8,0.0,95:27,35,1.1,554:22,13,0.8,199:00
Joni Ikonen,C,2017,58,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Eemeli Rasanen,D,2017,59,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Antoine Morand,C,2017,60,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Grant Mismash,LW,2017,61,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jake Leschyshyn,C,2017,62,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,41,-0.1,463:21,13,-0.3,108:29,1,0.0,6:28
