Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Nail Yakupov,RW,2012,1,48,4.0,698:58,63,1.1,901:47,81,1.9,1250:53,60,1.5,853:11,40,0.5,425:53,58,1.7,628:37,0,N/A,0:00
Ryan Murray,D,2012,2,0,N/A,0:00,66,4.5,1311:28,12,0.7,226:54,82,3.8,1873:23,60,2.4,1099:59,44,2.3,811:12,56,5.7,1200:36
Alex Galchenyuk,C,2012,3,48,3.5,591:24,65,3.0,935:41,80,5.6,1314:18,82,7.0,1333:16,61,4.9,971:43,82,4.2,1331:12,72,4.1,1132:38
Griffin Reinhart,D,2012,4,0,N/A,0:00,0,N/A,0:00,8,0.3,113:23,29,0.2,524:10,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Morgan Rielly,D,2012,5,0,N/A,0:00,73,3.1,1286:32,81,4.5,1647:21,82,5.6,1904:37,76,2.9,1684:49,76,6.8,1641:35,82,11.7,1896:01
Hampus Lindholm,D,2012,6,0,N/A,0:00,78,6.6,1515:40,78,7.7,1697:18,80,7.3,1760:09,66,5.6,1481:40,69,7.2,1569:03,76,5.5,1823:36
Mathew Dumba,D,2012,7,0,N/A,0:00,13,0.1,161:50,58,4.7,870:36,81,5.6,1364:05,76,6.9,1544:46,82,9.3,1952:49,32,4.2,748:02
Derrick Pouliot,D,2012,8,0,N/A,0:00,0,N/A,0:00,34,0.6,596:35,22,1.3,339:58,11,-0.3,163:44,71,2.3,1267:28,62,2.7,1063:49
Jacob Trouba,D,2012,9,0,N/A,0:00,65,5.9,1458:22,65,4.6,1515:34,81,4.9,1787:23,60,5.2,1497:48,55,4.3,1204:23,82,7.5,1876:00
Slater Koekkoek,D,2012,10,0,N/A,0:00,0,N/A,0:00,3,0.0,49:45,9,0.1,92:49,29,0.5,376:44,35,1.6,393:14,22,1.0,361:47
Filip Forsberg,C,2012,11,5,-0.2,77:23,13,0.1,148:16,82,8.3,1421:08,82,8.5,1562:19,82,7.2,1518:29,67,8.3,1170:46,64,6.3,1191:27
Mikhail Grigorenko,C,2012,12,25,0.2,255:53,18,0.2,205:44,25,0.0,379:14,74,2.2,981:44,75,1.6,1056:41,0,N/A,0:00,0,N/A,0:00
Radek Faksa,C,2012,13,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,45,1.3,555:55,80,2.4,1293:48,79,4.2,1206:26,81,2.6,1330:49
Zemgus Girgensons,C,2012,14,0,N/A,0:00,70,1.8,1072:07,61,2.6,1163:51,71,1.3,1067:34,75,0.8,986:58,71,0.5,973:24,72,0.4,980:01
Cody Ceci,D,2012,15,0,N/A,0:00,49,1.4,843:07,81,3.6,1562:29,75,5.2,1447:31,79,3.2,1833:12,82,2.2,1913:50,74,3.1,1669:31
Tom Wilson,RW,2012,16,0,N/A,0:00,82,0.4,650:57,67,1.0,732:46,82,1.7,1058:51,82,1.3,1059:52,78,3.2,1247:08,63,4.4,1142:59
Tomas Hertl,C,2012,17,0,N/A,0:00,37,3.9,567:09,82,2.7,1193:18,81,6.1,1293:49,49,1.9,843:58,79,4.6,1430:01,77,8.3,1464:31
