Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Auston Matthews,C,2016,1,82,9.7,1445:45,62,9.0,1123:57,68,8.3,1261:44,70,10.8,1467:52,52,9.5,1120:46,73,13.8,1504:28,74,10.6,1500:36
Patrik Laine,RW,2016,2,73,8.9,1307:37,82,9.6,1351:25,82,4.7,1413:07,68,7.1,1319:53,45,0.8,786:21,56,5.8,1054:27,55,5.2,1051:39
Pierre-Luc Dubois,LW,2016,3,0,N/A,0:00,82,5.0,1364:02,82,7.2,1452:40,70,5.0,1255:14,41,1.6,618:55,81,5.8,1532:31,73,6.6,1346:59
Jesse Puljujarvi,RW,2016,4,28,0.7,315:07,65,1.8,868:54,46,-0.1,549:51,0,N/A,0:00,55,3.0,832:03,65,3.7,1055:02,17,-0.2,207:16
Olli Juolevi,D,2016,5,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,23,0.8,303:49,8,0.0,105:01,0,N/A,0:00
Matthew Tkachuk,LW,2016,6,76,5.4,1114:14,68,5.6,1173:03,80,8.8,1407:55,69,6.5,1263:15,56,4.7,1016:45,82,13.7,1467:45,79,12.3,1614:26
Clayton Keller,C,2016,7,3,0.0,38:00,82,6.7,1483:06,82,3.6,1495:17,70,4.4,1140:40,56,3.5,932:52,67,6.7,1349:18,82,8.7,1701:31
Alexander Nylander,LW,2016,8,4,0.0,49:19,3,0.0,38:35,12,0.2,146:19,65,2.2,788:47,0,N/A,0:00,0,N/A,0:00,9,0.1,110:46
Mikhail Sergachev,D,2016,9,4,0.1,48:30,79,6.0,1213:28,75,5.1,1344:15,70,6.3,1425:43,56,5.1,1230:20,78,6.1,1752:34,79,9.3,1881:04
Tyson Jost,C,2016,10,6,-0.1,94:03,65,1.6,951:12,70,2.1,910:25,67,2.0,855:24,54,1.6,762:38,21,0.2,269:50,59,1.0,787:21
Logan Brown,C,2016,11,0,N/A,0:00,4,0.0,32:31,2,-0.1,21:02,23,0.5,270:25,1,0.0,9:40,39,0.6,397:24,30,0.1,312:06
Michael McLeod,C,2016,12,0,N/A,0:00,0,N/A,0:00,21,-0.4,256:07,12,0.2,122:45,52,0.7,718:17,77,0.4,1026:06,80,1.4,980:08
Jake Bean,D,2016,13,0,N/A,0:00,0,N/A,0:00,2,0.0,16:55,0,N/A,0:00,42,1.8,610:35,67,3.6,1378:04,14,0.8,219:51
Charles McAvoy,D,2016,14,0,N/A,0:00,63,6.8,1395:17,54,5.7,1197:20,67,6.9,1551:56,51,6.8,1223:47,78,10.8,1921:44,67,8.8,1494:20
Luke Kunin,C,2016,15,0,N/A,0:00,19,0.1,246:35,49,0.9,778:23,63,2.6,974:20,38,2.3,531:40,82,1.0,1134:02,31,0.7,478:23
Jakob Chychrun,D,2016,16,68,3.0,1133:20,50,3.3,1012:30,53,3.4,1073:30,63,6.0,1413:23,56,7.4,1309:44,47,2.4,1080:45,12,0.9,251:57
Dante Fabbro,D,2016,17,0,N/A,0:00,0,N/A,0:00,4,0.2,50:57,64,1.7,1217:37,40,2.2,772:36,66,4.5,1257:27,79,2.7,1378:21
