Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Ryan Nugent-Hopkins,C,2011,1,62,6.0,1091:33,40,2.0,754:37,80,5.4,1631:30,76,6.2,1568:43,55,3.2,1048:26,82,4.0,1450:45,62,5.9,1121:35
Gabriel Landeskog,LW,2011,2,82,6.8,1526:11,36,1.5,695:44,81,8.1,1512:49,82,6.6,1517:27,75,5.6,1419:26,72,2.7,1352:16,78,7.2,1571:10
Jonathan Huberdeau,C,2011,3,0,N/A,0:00,48,3.3,812:31,69,2.2,1080:53,79,6.0,1323:05,76,7.3,1378:55,31,3.1,555:30,82,7.0,1574:55
Adam Larsson,D,2011,4,65,3.4,1340:20,37,1.9,669:45,26,1.0,462:24,64,5.0,1341:37,82,6.7,1845:47,79,5.5,1591:49,63,3.5,1381:44
Ryan Strome,C,2011,5,0,N/A,0:00,0,N/A,0:00,37,1.8,562:00,81,6.3,1247:14,71,1.8,1111:42,69,2.6,1007:56,82,2.5,1248:03
Mika Zibanejad,C,2011,6,9,-0.3,116:06,42,2.5,569:47,69,3.0,988:43,80,5.1,1314:59,81,5.5,1438:31,56,4.2,956:02,72,4.7,1293:29
Mark Scheifele,C,2011,7,7,0.1,76:37,4,-0.1,46:06,63,3.8,1030:34,82,5.2,1524:15,71,8.6,1316:58,79,10.3,1624:07,60,7.0,1240:42
Sean Couturier,C,2011,8,77,3.1,1088:43,46,0.6,730:54,82,3.2,1565:07,82,3.3,1507:50,63,4.0,1171:51,66,3.9,1217:25,82,9.0,1770:31
Dougie Hamilton,D,2011,9,0,N/A,0:00,42,3.3,719:23,64,5.9,1222:35,72,7.1,1535:30,82,5.7,1620:57,81,9.5,1594:25,82,8.5,1765:32
Jonas Brodin,D,2011,10,0,N/A,0:00,45,3.2,1044:35,79,5.0,1888:12,71,5.8,1716:18,68,2.1,1388:36,68,4.1,1330:38,73,5.8,1577:07
Duncan Siemens,D,2011,11,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,14:00,0,N/A,0:00,3,-0.1,36:56,16,0.1,197:06
Ryan Murphy,D,2011,12,0,N/A,0:00,4,-0.3,84:15,48,1.8,877:42,37,2.2,676:45,35,1.9,603:52,27,-0.3,355:39,21,1.7,399:14
Sven Baertschi,LW,2011,13,5,0.7,55:41,20,1.0,268:07,26,0.7,366:54,3,0.4,36:06,69,2.8,928:37,68,4.1,1079:33,53,3.3,827:06
Jamie Oleksiak,D,2011,14,0,N/A,0:00,16,0.0,237:20,7,-0.2,124:32,36,1.2,482:22,19,-0.1,241:36,41,1.4,664:38,47,3.5,817:54
J.T. Miller,C,2011,15,0,N/A,0:00,26,-0.2,351:37,30,0.2,343:35,58,2.6,736:35,82,5.5,1232:51,82,6.8,1342:03,19,2.0,345:33
Joel Armia,RW,2011,16,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,14:47,43,0.8,522:56,57,1.2,862:49,79,2.5,995:31
Nathan Beaulieu,D,2011,17,0,N/A,0:00,6,0.7,92:13,17,1.0,224:53,64,2.6,1004:45,64,2.8,1117:15,74,5.6,1441:30,59,0.9,940:53
Mark McNeill,C,2011,18,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,12:44,1,-0.1,13:49,0,N/A,0:00
Oscar Klefbom,D,2011,19,0,N/A,0:00,0,N/A,0:00,17,0.2,268:33,60,2.1,1319:56,30,2.2,656:33,82,7.6,1834:21,66,2.8,1507:55
Connor Murphy,D,2011,20,0,N/A,0:00,0,N/A,0:00,30,2.0,539:25,73,0.6,1226:27,78,4.2,1599:09,77,2.5,1476:44,76,2.7,1244:23
Stefan Noesen,RW,2011,21,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,6:54,1,0.0,10:02,32,1.2,410:54,72,3.2,956:38
Tyler Biggs,RW,2011,22,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Joseph Morrow,D,2011,23,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,15,0.7,250:21,33,0.6,524:58,17,0.1,263:56,18,1.3,261:05
Matt Puempel,LW,2011,24,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,13,0.6,104:25,26,-0.1,294:47,27,0.9,274:21,0,N/A,0:00
Stuart Percy,D,2011,25,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,9,0.2,162:42,3,-0.1,39:29,0,N/A,0:00,0,N/A,0:00
Phillip Danault,LW,2011,26,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,2,0.0,19:00,21,0.4,265:12,82,3.9,1277:42,52,2.2,862:34
Vladislav Namestnikov,C,2011,27,0,N/A,0:00,0,N/A,0:00,4,-0.1,37:53,43,1.9,515:48,80,4.5,1129:16,74,2.2,1094:05,19,0.0,298:39
Zack Phillips,C,2011,28,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Nicklas Jensen,LW,2011,29,0,N/A,0:00,2,-0.1,27:42,17,0.6,265:51,5,-0.1,47:47,0,N/A,0:00,7,-0.2,64:34,0,N/A,0:00
Rickard Rakell,RW,2011,30,0,N/A,0:00,4,-0.2,35:48,18,-0.1,210:58,71,3.2,892:37,72,5.4,1157:11,71,7.8,1234:25,77,8.3,1495:05
David Musil,D,2011,31,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,4,0.1,79:13,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
