Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Connor McDavid,C,2015,1,45,5.8,849:42,82,12.8,1732:47,82,13.1,1767:14,78,13.0,1781:18,64,10.9,1399:24,56,13.0,1240:36,80,14.0,1765:18
Jack Eichel,C,2015,2,81,6.3,1548:51,61,6.6,1215:08,67,6.5,1349:36,77,8.2,1573:59,68,9.5,1502:52,21,1.2,430:27,34,2.8,659:19
Dylan Strome,C,2015,3,0,N/A,0:00,7,-0.3,95:47,21,1.1,271:53,58,4.9,989:24,58,3.5,924:31,40,1.1,620:32,69,4.7,1203:24
Mitchell Marner,C,2015,4,0,N/A,0:00,77,6.6,1294:23,82,7.0,1343:49,82,9.8,1625:26,59,6.2,1271:41,55,7.3,1233:29,72,10.7,1503:34
Noah Hanifin,D,2015,5,79,3.8,1414:25,81,3.8,1451:32,79,4.5,1489:57,80,5.7,1661:52,70,3.5,1482:00,47,2.8,940:34,81,8.7,1725:31
Pavel Zacha,C,2015,6,1,0.4,16:51,70,1.5,1001:33,69,1.8,991:37,61,2.3,980:51,65,2.0,1057:23,50,3.4,857:45,70,2.2,1179:13
Ivan Provorov,D,2015,7,0,N/A,0:00,82,5.7,1802:12,82,8.6,1980:32,82,3.7,2059:11,69,7.1,1714:09,56,4.7,1399:55,79,4.4,1966:21
Zach Werenski,D,2015,8,0,N/A,0:00,78,9.1,1631:04,77,7.5,1738:21,82,6.5,1877:46,63,9.1,1511:05,35,3.1,852:34,68,5.7,1744:48
Timo Meier,RW,2015,9,0,N/A,0:00,34,0.4,424:06,81,4.0,1204:17,78,7.4,1323:52,70,4.6,1209:48,54,2.9,867:17,77,8.7,1475:01
Mikko Rantanen,RW,2015,10,9,-0.4,80:37,75,3.5,1354:22,81,9.3,1535:59,74,9.8,1542:18,42,4.6,795:53,52,9.1,1035:44,75,10.5,1573:52
