Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Nathan MacKinnon,C,2013,1,82,7.7,1422:13,64,3.7,1091:04,72,5.7,1358:21,82,4.8,1635:24,74,12.2,1472:59,82,11.8,1811:30,69,10.8,1464:21
Aleksander Barkov,C,2013,2,54,1.9,923:13,71,3.6,1242:25,66,8.4,1282:23,61,6.9,1183:30,79,8.0,1743:32,82,10.0,1833:01,66,5.9,1321:00
Jonathan Drouin,LW,2013,3,0,N/A,0:00,70,2.4,926:33,21,1.2,303:18,73,5.5,1292:35,77,3.1,1355:09,81,4.4,1371:26,27,1.4,423:56
Seth Jones,D,2013,4,77,3.0,1510:46,82,5.4,1630:24,41,2.5,1002:30,75,7.8,1755:15,78,9.9,1918:57,75,7.5,1936:42,56,6.5,1415:41
Elias Lindholm,C,2013,5,58,1.5,842:30,81,3.6,1330:18,82,2.6,1485:08,72,4.1,1309:03,81,3.6,1449:19,81,8.4,1623:07,70,6.1,1380:30
Sean Monahan,C,2013,6,75,3.6,1198:21,81,7.9,1589:20,81,6.9,1552:10,82,6.9,1441:18,74,7.7,1382:28,78,8.9,1486:16,70,4.6,1267:07
Darnell Nurse,D,2013,7,0,N/A,0:00,2,-0.1,33:59,69,1.9,1395:55,44,2.4,748:47,82,5.8,1824:29,82,6.6,1953:16,71,5.5,1665:16
Rasmus Ristolainen,D,2013,8,34,0.5,649:58,78,2.6,1607:52,82,6.7,2073:01,79,7.6,2090:58,73,5.7,1934:27,78,4.3,1922:02,69,5.4,1573:09
Bo Horvat,C,2013,9,0,N/A,0:00,68,2.5,833:56,82,2.9,1404:51,81,5.7,1460:36,64,4.9,1238:23,82,6.2,1708:31,69,4.6,1361:30
Valeri Nichushkin,RW,2013,10,79,4.1,1182:35,8,-0.3,110:11,79,2.3,1100:36,0,N/A,0:00,0,N/A,0:00,57,-0.1,679:16,65,3.4,914:44
Samuel Morin,D,2013,11,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,17:47,2,0.1,31:37,5,-0.2,61:51,1,-0.1,12:32
Max Domi,C/LW,2013,12,0,N/A,0:00,0,N/A,0:00,81,5.8,1326:19,59,3.2,1001:52,82,3.3,1369:54,82,8.2,1425:19,71,4.2,1213:55
Josh Morrissey,D,2013,13,0,N/A,0:00,0,N/A,0:00,1,0.0,15:54,82,3.7,1598:16,81,5.6,1656:43,59,5.2,1321:54,65,4.9,1480:04
Alexander Wennberg,C,2013,14,0,N/A,0:00,68,-0.1,1062:28,69,3.5,1094:23,80,5.9,1470:12,66,3.3,1196:40,75,0.8,1130:48,57,1.2,950:55
Ryan Pulock,D,2013,15,0,N/A,0:00,0,N/A,0:00,15,1.0,235:56,1,0.1,3:57,68,4.5,1251:36,82,8.3,1833:49,68,6.8,1523:44
Nikita Zadorov,D,2013,16,7,0.1,120:12,60,2.6,1062:27,22,0.1,372:31,56,0.8,1066:00,77,4.4,1498:49,70,4.4,1204:16,64,2.7,1137:27
Curtis Lazar,C/RW,2013,17,0,N/A,0:00,67,0.8,864:05,76,0.9,1053:16,4,0.4,47:06,65,0.1,640:43,1,0.0,4:48,38,0.7,449:39
Mirco Mueller,D,2013,18,0,N/A,0:00,39,0.4,661:29,11,-0.2,116:38,4,0.5,38:22,28,1.0,466:55,53,2.2,957:49,50,1.0,882:07
Kerby Rychel,LW,2013,19,0,N/A,0:00,5,0.4,53:28,32,0.9,304:27,0,N/A,0:00,4,0.2,44:07,2,-0.1,18:21,0,N/A,0:00
Anthony Mantha,RW,2013,20,0,N/A,0:00,0,N/A,0:00,10,0.1,117:00,60,4.9,954:06,80,5.2,1383:30,67,5.0,1194:25,43,4.1,812:25
Frederik Gauthier,C,2013,21,0,N/A,0:00,0,N/A,0:00,7,-0.3,96:55,21,0.3,203:33,9,-0.1,78:41,70,0.7,585:34,61,0.7,572:40
Emile Poirier,LW,2013,22,0,N/A,0:00,6,0.1,47:54,2,-0.1,27:47,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Andre Burakovsky,LW,2013,23,0,N/A,0:00,53,2.8,684:48,79,4.6,1028:56,64,4.1,848:51,56,2.6,774:57,76,2.2,845:32,58,5.4,881:38
Hunter Shinkaruk,C/LW,2013,24,0,N/A,0:00,0,N/A,0:00,7,0.2,110:08,7,-0.1,74:05,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Michael McCarron,RW,2013,25,0,N/A,0:00,0,N/A,0:00,20,-0.5,233:38,31,0.0,306:33,18,-0.2,157:43,0,N/A,0:00,0,N/A,0:00
Shea Theodore,D,2013,26,0,N/A,0:00,0,N/A,0:00,19,2.3,363:04,34,1.4,588:39,61,4.9,1241:29,79,6.2,1588:10,71,8.1,1579:08
Marko Daňo,C,2013,27,0,N/A,0:00,35,2.9,464:00,21,0.6,290:39,38,0.9,406:01,23,0.1,165:18,8,-0.1,55:04,3,-0.1,21:31
Morgan Klimchuk,LW,2013,28,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,7:25,0,N/A,0:00,0,N/A,0:00
Jason Dickinson,C,2013,29,0,N/A,0:00,0,N/A,0:00,1,0.2,11:55,10,0.1,117:54,27,-0.2,230:25,67,1.9,896:01,65,1.9,973:23
Ryan Hartman,RW,2013,30,0,N/A,0:00,5,-0.1,41:26,3,0.0,27:43,76,4.2,970:18,21,0.3,289:02,19,0.2,228:50,69,1.6,845:38
Ian McCoshen,D,2013,31,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,3,0.2,39:46,38,0.4,572:53,19,0.4,253:04,0,N/A,0:00
Chris Bigras,D,2013,32,0,N/A,0:00,0,N/A,0:00,31,0.7,413:36,0,N/A,0:00,15,0.1,207:54,0,N/A,0:00,0,N/A,0:00
Adam Erne,LW,2013,33,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,26,-0.2,306:59,23,0.2,232:44,65,1.7,685:38,56,-1.0,661:41
