Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Aaron Ekblad,D,2014,1,81,8.5,1766:37,78,8.2,1690:49,68,3.4,1459:17,82,7.8,1917:54,82,6.8,1938:49,67,6.2,1539:25,35,4.4,878:11
Sam Reinhart,C,2014,2,9,-0.1,93:16,79,5.2,1330:03,79,4.6,1360:09,82,5.0,1402:19,82,6.0,1554:32,69,4.5,1423:22,54,4.3,1055:06
Leon Draisaitl,C,2014,3,37,-0.2,469:44,72,5.8,1300:07,82,9.6,1548:29,78,6.9,1506:59,82,12.6,1852:27,71,12.8,1605:24,56,10.9,1242:33
Samuel Bennett,C,2014,4,1,0.0,16:00,77,3.4,1166:15,81,1.6,1213:59,82,1.3,1180:50,71,1.9,943:35,52,1.0,650:35,10,2.3,180:35
Michael Dal Colle,LW,2014,5,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,4,-0.1,53:25,28,0.6,339:02,53,0.1,625:19,26,0.1,309:32
Jake Virtanen,RW,2014,6,0,N/A,0:00,55,1.0,636:01,10,0.0,101:27,75,1.3,898:59,70,2.4,1037:20,69,3.7,902:53,38,0.2,465:36
Haydn Fleury,D,2014,7,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,67,2.0,1125:16,20,0.7,250:40,45,2.2,614:56,12,0.4,247:50
William Nylander,C/RW,2014,8,0,N/A,0:00,22,1.6,359:26,81,6.8,1297:00,82,6.7,1368:27,54,1.6,837:51,68,6.7,1238:11,51,4.7,846:38
Nikolaj Ehlers,LW,2014,9,0,N/A,0:00,72,4.1,1159:16,82,7.2,1433:52,82,7.3,1318:36,62,4.2,977:12,71,6.8,1173:10,47,6.2,795:14
Nicholas Ritchie,LW,2014,10,0,N/A,0:00,33,0.0,388:09,77,3.2,999:52,76,2.2,1001:50,60,3.0,900:05,7,0.1,89:40,56,2.6,860:40
Kevin Fiala,LW,2014,11,1,-0.1,11:25,5,0.1,65:46,54,1.8,729:40,80,6.0,1211:49,19,0.1,335:03,64,6.0,985:39,50,4.6,844:59
Brendan Perlini,LW,2014,12,0,N/A,0:00,0,N/A,0:00,57,2.3,845:47,74,3.2,1073:52,46,1.3,487:43,39,-0.7,420:01,0,N/A,0:00
Jakub Vrana,L/RW,2014,13,0,N/A,0:00,0,N/A,0:00,21,0.6,233:17,73,2.6,912:24,82,5.6,1151:18,69,6.1,1026:53,11,1.7,189:59
Julius Honka,D,2014,14,0,N/A,0:00,0,N/A,0:00,16,0.5,269:54,42,1.0,546:23,29,0.9,397:41,0,N/A,0:00,0,N/A,0:00
Dylan Larkin,C,2014,15,0,N/A,0:00,80,6.0,1323:32,80,2.3,1292:14,82,5.2,1627:10,76,7.5,1660:00,71,4.5,1508:41,44,1.4,897:42
Sonny Milano,LW,2014,16,0,N/A,0:00,3,0.1,40:08,4,-0.2,46:44,55,2.3,640:44,8,0.1,66:34,9,0.4,139:26,6,-0.1,88:24
Travis Sanheim,D,2014,17,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,49,1.3,763:35,82,5.3,1603:48,69,4.7,1390:38,55,1.0,1203:45
Alex Tuch,RW,2014,18,0,N/A,0:00,0,N/A,0:00,6,-0.3,64:13,78,3.4,1189:42,74,5.9,1237:47,42,1.1,614:04,55,4.2,925:27
Anthony Deangelo,D,2014,19,0,N/A,0:00,0,N/A,0:00,39,1.7,666:40,32,0.0,529:54,61,4.9,1178:59,68,8.4,1311:32,6,-0.3,110:51
Nick Schmaltz,C,2014,20,0,N/A,0:00,0,N/A,0:00,61,2.7,808:56,78,5.2,1422:02,17,1.3,306:22,70,4.3,1087:27,52,3.0,886:59
Robert Fabbri,C,2014,21,0,N/A,0:00,72,4.6,958:41,51,2.5,796:04,0,N/A,0:00,32,0.0,404:55,52,2.3,897:46,30,2.3,518:05
Kasperi Kapanen,RW,2014,22,0,N/A,0:00,9,-0.3,133:01,8,0.0,85:34,38,0.9,427:20,78,4.4,1295:41,69,2.9,1089:31,40,3.6,621:16
Conner Bleackley,C,2014,23,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jared McCann,C,2014,24,0,N/A,0:00,69,1.5,864:01,29,0.3,337:25,68,2.6,901:21,32,2.3,485:45,66,3.5,1006:05,43,4.2,606:54
David Pastrnak,RW,2014,25,46,3.6,642:46,51,3.5,711:12,75,10.3,1348:41,82,9.7,1473:12,66,10.2,1237:45,70,13.2,1327:15,48,6.0,893:29
Nikita Scherbak,RW,2014,26,0,N/A,0:00,0,N/A,0:00,3,0.2,34:08,26,0.3,347:49,8,-0.1,81:25,0,N/A,0:00,0,N/A,0:00
Nikolay Goldobin,RW,2014,27,0,N/A,0:00,9,0.2,100:40,12,0.5,139:32,38,1.0,468:40,63,1.7,944:21,1,0.0,8:37,0,N/A,0:00
Joshua Ho-Sang,C/RW,2014,28,0,N/A,0:00,0,N/A,0:00,21,1.0,345:35,22,0.6,314:09,10,0.1,145:14,0,N/A,0:00,0,N/A,0:00
