Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
John Tavares,C,2009,1,82,5.1,1476:34,79,7.4,1520:45,82,9.6,1686:36,48,6.6,997:11,59,7.7,1253:16,82,11.2,1695:12,78,9.3,1559:34
Victor Hedman,D,2009,2,74,3.9,1542:46,79,5.0,1659:42,61,2.9,1409:04,44,3.0,997:01,75,9.0,1682:49,59,7.0,1338:21,78,10.1,1799:10
Matt Duchene,C,2009,3,81,5.8,1436:22,80,7.1,1515:35,58,2.8,944:44,47,4.5,983:16,71,8.1,1313:16,82,6.2,1522:53,76,7.2,1412:53
Evander Kane,LW,2009,4,66,2.6,923:33,73,4.1,1303:57,74,7.8,1296:16,48,3.7,981:43,63,4.1,1278:13,37,2.4,714:34,65,3.8,1367:25
Brayden Schenn,C,2009,5,1,-0.1,12:31,8,0.0,89:59,54,1.5,762:43,47,2.3,729:52,82,4.6,1291:21,82,4.6,1400:34,80,7.4,1351:31
Oliver Ekman-Larsson,D,2009,6,0,N/A,0:00,48,2.0,721:42,82,6.7,1813:00,48,4.3,1204:37,80,8.3,2071:37,82,8.8,2067:27,75,9.5,1857:43
Nazem Kadri,C,2009,7,1,-0.1,17:26,29,0.7,457:29,21,0.9,297:21,48,6.2,770:30,78,5.2,1356:27,73,4.1,1284:59,76,4.0,1388:47
Scott Glennie,RW,2009,8,0,N/A,0:00,0,N/A,0:00,1,0.0,9:35,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jared Cowen,D,2009,9,1,0.0,6:46,0,N/A,0:00,82,2.7,1549:12,7,0.5,142:01,68,3.0,1394:50,54,1.0,980:08,37,1.2,628:14
Magnus Paajarvi,LW,2009,10,0,N/A,0:00,80,2.6,1231:05,41,-0.1,540:15,42,1.7,593:28,55,0.8,563:37,10,-0.1,97:58,48,0.0,616:48
Ryan Ellis,D,2009,11,0,N/A,0:00,0,N/A,0:00,32,2.5,474:29,32,1.3,524:08,80,5.7,1285:23,58,5.6,1100:57,79,7.6,1650:59
Calvin de Haan,D,2009,12,0,N/A,0:00,0,N/A,0:00,1,0.1,13:01,0,N/A,0:00,51,2.4,1072:14,65,2.3,1235:40,72,3.6,1485:34
Zack Kassian,RW,2009,13,0,N/A,0:00,0,N/A,0:00,17,0.1,174:51,39,0.9,525:44,73,3.3,943:49,42,1.8,529:58,36,0.2,448:16
Dmitry Kulikov,D,2009,14,68,2.9,1219:40,72,5.0,1436:26,58,4.8,1267:38,34,2.0,713:12,81,2.3,1757:09,73,4.3,1555:44,74,3.5,1556:33
Peter Holland,C,2009,15,0,N/A,0:00,0,N/A,0:00,4,0.2,30:49,21,0.6,243:23,39,0.9,451:37,62,2.7,900:19,65,1.8,953:17
Nick Leddy,D,2009,16,0,N/A,0:00,46,1.4,658:22,82,4.3,1810:46,48,4.5,836:08,82,5.5,1342:22,78,7.7,1588:13,81,5.9,1832:09
David Rundblad,D,2009,17,0,N/A,0:00,0,N/A,0:00,6,0.3,84:42,8,-0.2,109:52,5,-0.1,41:41,49,4.0,627:10,9,0.2,129:21
Louis Leblanc,C,2009,18,0,N/A,0:00,0,N/A,0:00,42,1.1,470:19,0,N/A,0:00,8,-0.1,78:58,0,N/A,0:00,0,N/A,0:00
Chris Kreider,C,2009,19,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,23,0.1,232:34,66,5.1,1038:06,80,6.4,1256:55,79,5.4,1260:36
Jacob Josefson,C,2009,20,0,N/A,0:00,28,1.2,370:38,41,1.0,496:03,22,-0.4,285:36,27,0.1,273:35,62,0.8,770:45,58,0.0,900:17
John Moore,D,2009,21,0,N/A,0:00,2,0.0,22:57,67,0.1,1060:03,13,1.7,153:03,74,4.1,1134:19,19,0.2,355:39,73,4.0,1448:11
Jordan Schroeder,C,2009,22,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,31,0.7,425:06,25,0.3,300:17,25,1.2,271:24,26,0.4,244:49
Tim Erixon,D,2009,23,0,N/A,0:00,0,N/A,0:00,18,0.3,233:57,31,1.5,486:35,2,0.2,28:41,15,0.0,236:59,0,N/A,0:00
Marcus Johansson,C/W,2009,24,0,N/A,0:00,69,2.8,1015:54,80,4.3,1344:17,34,2.2,563:55,80,2.5,1403:04,82,5.4,1350:57,74,5.4,1231:20
Jordan Caron,RW,2009,25,0,N/A,0:00,23,0.7,291:27,48,1.4,553:21,17,0.2,159:54,35,-0.7,382:21,19,-0.3,153:50,4,-0.2,32:30
Kyle Palmieri,RW,2009,26,0,N/A,0:00,10,0.0,86:52,18,1.0,207:22,42,2.6,517:44,71,3.7,847:54,57,3.3,803:31,82,8.2,1460:00
Philippe Paradis,C,2009,27,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Dylan Olsen,D,2009,28,0,N/A,0:00,0,N/A,0:00,28,-0.2,364:46,0,N/A,0:00,44,2.0,679:13,44,1.2,699:44,8,0.1,110:01
Carter Ashton,RW,2009,29,0,N/A,0:00,0,N/A,0:00,15,-0.7,156:15,0,N/A,0:00,32,0.0,200:45,7,-0.2,43:34,0,N/A,0:00
Simon Despres,D,2009,30,0,N/A,0:00,0,N/A,0:00,18,1.1,255:58,33,1.9,498:50,34,1.6,569:14,16,1.1,298:35,32,1.5,628:05
Mikko Koskinen,G,2009,31,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Landon Ferraro,C,2009,32,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,4,-0.1,35:54,3,0.2,35:57,58,0.2,626:00
Ryan O'Reilly,C,2009,33,81,1.2,1358:04,74,1.7,1188:14,81,5.7,1581:58,29,1.9,536:44,80,7.1,1585:38,82,5.2,1617:06,71,6.4,1543:11
Carl Klingberg,LW,2009,34,0,N/A,0:00,1,0.0,10:22,6,-0.1,32:59,0,N/A,0:00,3,0.3,26:37,2,-0.1,6:37,0,N/A,0:00
Kyle Clifford,LW,2009,35,0,N/A,0:00,76,0.8,722:21,81,0.6,761:59,48,1.6,509:06,71,0.4,721:26,80,1.2,859:04,56,0.4,523:35
Chris Brown,C,2009,36,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,5,-0.1,38:11,6,0.2,58:14,5,0.2,32:18,1,0.0,7:41
Mat Clark,D,2009,37,0,N/A,0:00,0,N/A,0:00,2,-0.1,22:03,0,N/A,0:00,0,N/A,0:00,7,0.3,89:24,0,N/A,0:00
Alex Chiasson,RW,2009,38,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,7,1.4,98:34,79,2.4,1194:01,76,2.1,1016:36,77,0.6,1050:05
Jakob Silfverberg,LW,2009,39,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,48,2.4,778:59,52,2.3,741:41,81,4.2,1268:35,82,5.0,1391:54
Anton Lander,C,2009,40,0,N/A,0:00,0,N/A,0:00,56,-0.4,594:24,11,-0.3,121:18,27,-0.9,368:14,38,1.6,570:27,61,-1.1,737:01
Zach Budish,RW,2009,41,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Charles-Olivier Roussel,D,2009,42,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
