overall,expected_draft_value,value_floor_5pct,value_ceiling_95pct,raw_model_output,raw_floor_5pct,raw_ceiling_95pct
1,100.0,93.36757952887041,106.6488291622139,60.50915052423118,56.49592923795545,64.53230057009416
2,85.11383593138368,81.23192018608351,89.07084126243743,51.501659100668114,49.1527448591206,53.896009412687285
3,75.45820843490603,71.66491940503828,79.3112510161782,45.65912092476539,43.363833955863576,47.990564260030105
4,69.42732852612197,65.95763667477324,72.92927551546258,42.00988672282364,39.91040565776405,44.12888509788253
5,65.4154072205865,62.56631930848518,68.34748722106438,39.58230722114348,37.858348327842414,41.356483922123516
6,62.07717299297505,59.49001704227147,64.687432434222,37.56237004750666,35.99690395899882,39.141815861883735
7,59.109424154445065,56.52191880813137,61.65769789949088,35.76661043561943,34.20093293079594,37.30854923177866
8,56.469476475274476,53.83589459422196,59.07011545989299,34.16920052066915,32.57564249608421,35.7428250784638
9,54.11464572574127,51.51158016576829,56.669347814776344,32.74431243784322,31.169219579914746,34.29014097034313
10,52.00224767612334,49.50450646075598,54.44539528099496,31.466118322328985,29.954756330616583,32.9444461840899
11,50.08959809669869,47.75345235955569,52.417351560552305,30.308790309313846,28.895208368760578,31.717294156590036
12,48.3340127577452,46.17159059461017,50.50237369197883,29.246500533985145,27.938037252324435,30.5585573155892
13,46.692807429540856,44.63477224630492,48.73868114796509,28.253421131530274,27.008121524664407,29.49136193934728
14,45.1232978823636,43.122086062202726,47.08919600619086,27.30372423713661,26.092807964566763,28.493272492036283
15,43.582799886491365,41.62108906407462,45.5393461589767,26.371581985991515,25.18456743160523,27.5554715150859
16,42.03687263921911,40.05049535859712,44.01849440588994,25.436154540944443,24.234214522233753,26.635217038560228
17,40.484049045909856,38.459933388831715,42.50846708263772,24.49655417549317,23.271778985767227,25.721512332576523
18,38.931105438943625,36.87008349479972,40.97682094797819,23.556881190797547,22.30977432027808,24.794726267456817
19,37.38481815070044,35.34456187671742,39.4412263780105,22.621235888017427,21.386694148112976,23.865551037673146
20,35.851963513560314,33.852818104504685,37.89441724710813,21.69371856831265,20.484052663548923,22.929589972332877
21,34.33931785990328,32.38489741222597,36.32956857891066,20.778429532843077,19.595826322281656,21.982713336216847
22,32.853657522109366,30.978293573947372,34.77534056560865,19.87946908276856,18.74470228849805,21.042263168158165
23,31.401758832558606,29.59882725877797,33.23042563068465,19.000937519248946,17.909998939421133,20.107448264713675
24,29.990398123630992,28.281799745893434,31.701786697877623,18.146935143444082,17.113076779204288,19.18248183188947
25,28.626351727706577,27.034644198399583,30.22792845767073,17.321562256513825,16.358433551699935,18.290662730808894
26,27.316395977165367,25.829363443411605,28.79909864146906,16.528919159618024,15.62912840542467,17.42608994658833
27,26.067307204387408,24.680214199017897,27.444218542040353,15.773106153916535,14.933787959386416,16.60626350780216
28,24.885861741752695,23.594609685228352,26.177660737603343,15.058223540569198,14.276897890039653,15.839880139438973
29,23.778835921641278,22.561071060929557,25.007526575300734,14.388371620735875,13.651512448136625,15.131841897835837
