overall,expected_draft_value,value_ceiling_97pct,value_floor_3pct,raw_model_output,raw_floor_3pct,raw_ceiling_97pct
1,100.0,109.34176565235819,90.93213566614271,68.4691431966043,62.26045418098175,74.86537009820863
2,90.4320981036742,95.94629689005407,84.98464253838213,61.918082746298374,58.188256594727164,65.69360740949023
3,83.74885235041687,89.04565370524568,78.3827820223697,57.342121641319636,53.66801926437853,60.96879614579706
4,79.13437142251321,83.92437824654601,74.25219297090719,54.18262608701328,50.839840331869404,57.46230271848742
5,75.77276400224837,79.78797909539864,71.73186988034894,51.880962288724476,49.11419670597799,54.63014566050521
6,72.97504739329628,76.73691129250135,69.38693458729949,49.96538969750589,47.50863960231225,52.54110567751397
7,70.55987338488558,74.20688752716522,67.14757016458448,48.311740747239995,45.9753659690297,50.80882008271786
8,68.47280238763362,72.10455057116619,65.11015428492031,46.88274111751675,44.58036477287208,49.369367981839744
9,66.65939481215773,70.26246319043364,63.2984816219892,45.641116487926105,43.339928023036045,48.10810653531939
10,65.0652110690753,68.53251154368544,61.74394099766832,44.54959253805801,42.27554737692039,46.92362346507536
11,63.63581156900372,66.95264916139959,60.48177376137464,43.570894947502445,41.411352284521854,45.84190522823877
12,62.31675672256026,65.41982941652122,59.33680555872467,42.66774939584933,40.62740236629386,44.79239668217218
13,61.053606940362336,64.00596852844222,58.20638075608273,41.80288156268863,39.85341018944302,43.82433824611259
14,59.79192263302732,62.663958259328254,57.024685039697125,40.939017127610335,39.04431325724282,42.90547531323981
15,58.47726421117253,61.33519803175148,55.68850669277731,40.03888177020436,38.12944339152827,41.995684570280744
16,57.066736621493476,59.961306090563326,54.231677010064,39.0731056149994,37.13196458994065,41.05499252970202
17,55.563622954998294,58.49033290702752,52.6841103776858,38.043936566279086,36.07235897635476,40.047829794283246
18,53.982750838773285,56.84675521111896,51.04249799447489,36.96152697326579,34.9483610429609,38.922486228124164
19,52.33894789990475,55.13608389490465,49.4100718463291,35.83602918518191,33.83065284600814,37.75120423500215
20,50.64704176547891,53.371318698599914,47.77650847217493,34.677595551249745,32.71216600015124,36.54288462566043
21,48.9218600625821,51.53288982440161,46.11284661684357,33.49637842069171,31.573070982117127,35.28412812721787
22,47.1782304183006,49.70599309284493,44.460142660004514,32.30253014273017,30.44147874329305,34.03326758803424
23,45.430980459720686,47.8176208728981,42.835089294490245,31.10620306658748,29.328818627437848,32.74031530867395
24,43.69493781392864,45.94491680286864,41.251641584028356,29.917549541486007,28.244645547118342,31.458090877316845
25,41.98493010801075,44.093860733682995,39.696246266728124,28.746721916648116,27.17967970004277,30.190688646656692
26,40.315784969053304,42.31318752070941,38.17333663675414,27.603872541296184,26.136956524741002,28.97147695460223
27,38.702330024142576,40.585108045867024,36.69929296529058,26.499153764652565,25.127691452546138,27.788275744421266
28,37.159392900364864,38.95878980732647,35.29272812993005,25.442717935939633,24.164628561270057,26.674749580842445
29,35.70180122480644,37.422743217410655,33.94397521146897,24.444717404379748,23.241148994160557,25.623031641626426
30,34.34438262455359,36.013667701435786,32.681801755751586,23.515304519195283,22.376949643375895,24.6582497088453
31,33.09853799042868,34.73828107688751,31.480896446357352,22.662285372649087,21.55470006743113,23.78500341457301
32,31.961961268198255,33.58780850611638,30.363622422859965,21.884081029165866,20.789712116384244,22.997284702654067
33,30.928919667365005,32.55655889783486,29.33669503424184,21.176766296210857,20.08658373214615,22.291196931645374
34,29.993680397431547,31.63224979836192,28.407345930733438,20.53641598124924,19.450266363668625,21.658330410748
35,29.150510667900555,30.811118180576674,27.550063996791735,19.959104891746247,18.86329276871946,21.096108627534026
36,28.393677688274654,30.0538724769221,26.789642367417226,19.44090783516706,18.342638594405077,20.577628982348642
37,27.71744866805651,29.375589172975097,26.105861217357567,18.977899618976902,17.87445949961934,20.11321421569051
38,27.116090816748734,28.7868262675309,25.49897917610368,18.566155050640962,17.458932565758744,19.710093298873435
39,26.58387134385401,28.25552750460611,24.97924749577534,18.201748937624462,17.103076737316613,19.346317588084673
40,26.115057458874983,27.777041667289094,24.511867265915438,17.880756087392605,16.78306549846122,19.018702434956616
41,25.70391637131429,27.36761452180362,24.10652507713893,17.599251307410597,16.50553117479158,18.738371176428394
42,25.34471529067457,27.005355879702183,23.752690712147636,17.35330940514364,16.263263816746896,18.490335788025888
43,25.031721426458486,26.672753932802802,23.439605477163525,17.13900518805694,16.048897038878202,18.262606084728656
44,24.759201988168666,26.37594916338982,23.182231258508047,16.952413463615706,15.87267511655584,18.05938640214493
45,24.521424185307783,26.119845150320607,22.96003441403556,16.789609039285146,15.720538840935637,17.884034178704322
46,24.312655227378464,25.88334644648653,22.773806635409752,16.646666722530462,15.593030276516476,17.722105542518054
47,24.12716232388336,25.677877953355672,22.61699146440316,16.519661320816862,15.485660272525973,17.581423025732384
48,23.95921268432513,25.49364900716191,22.46730428854836,16.404667641609556,15.383170745742996,17.45528304475338
49,23.803073518206407,25.31331092468805,22.335430174947355,16.297760492373744,15.292877670062273,17.331807104826343
50,23.653012035029843,25.134614080308246,22.2100145053906,16.195014680574634,15.207006635682477,17.209454906560122
51,23.504254272781225,24.959164895401898,22.07575442980068,16.093161515324564,15.115079912270945,17.089326352909318
52,23.35586158337887,24.791038863258,21.94233517943259,15.991558312324374,15.023728894684583,16.974211899209944
53,23.207854147224257,24.625471158149928,21.816928452570977,15.890218888922048,14.937863983291532,16.860849110112166
54,23.060252144718845,24.463490377373454,21.686254607419958,15.789157062465563,14.848392721134571,16.749942257371345
55,22.913075756264096,24.295757305825095,21.549408467201182,15.688386650302888,14.754695341429152,16.635096860424838
56,22.766345162261473,24.13316622798543,21.410895192088958,15.587921469782003,14.659856488746254,16.523772142513895
57,22.620080543112437,23.974008790989433,21.274790889077586,15.487775338250882,14.566667038620658,16.41479840906906
58,22.474302079218464,23.820373888676592,21.142925754359815,15.387962073057508,14.476380110704355,16.309605907804517
