overall,expected_draft_value,value_floor_5pct,value_ceiling_95pct,raw_model_output,raw_floor_5pct,raw_ceiling_95pct
1,100.0,92.60142697572186,107.47342605045392,77.37087670071905,71.64653588849215,83.15313195553517
2,89.53467206467515,85.23334609564871,93.9390042858645,69.27376072755295,65.9457871155615,72.6814311798994
3,82.04195442449927,77.70941791526478,86.3353821246594,63.47657940063945,60.124457920066,66.79844205276487
4,76.64371140840036,72.70219070187004,80.59497333916708,59.29991145264838,56.2503223266655,62.35703744922436
5,72.46180734530647,69.09061018948586,75.72476325471446,56.06433561624964,53.456010821481534,58.58891320971653
6,68.75935541144301,65.71755090466489,71.79298217599136,53.19971609559677,50.84624528118054,55.546859719155485
7,65.36446417222494,62.37444132392833,68.34434462469972,50.573058980777844,48.25965208949894,52.87861861149093
8,62.24649104036464,59.25198513272255,65.26698774641595,48.16065583336465,45.84378035976715,50.4976406155529
9,59.37479342857438,56.403332413993645,62.33526776008835,45.93879821492892,43.639752777127725,48.22934315972103
10,56.718728749566566,53.89111198562088,59.58762583826095,43.88377768704244,41.69602580704116,46.10346851620669
11,54.24765441605357,51.579727559240034,56.96384638309272,41.97188581127698,39.90768741242641,44.07342734904968
12,51.93092784074766,49.44994354129703,54.44679578165033,40.179414149204256,38.25985484591211,42.12596323171298
13,49.73790643636123,47.39775233638953,52.07696148632182,38.48265426239605,36.672056519100124,40.292401661063
14,47.63794761560664,45.370470427310764,49.85506888248862,36.85789771242415,35.10353073285081,38.57330387412882
15,45.60040879119622,43.33825760225775,47.81619741831362,35.28143606086028,33.53118985368285,36.995811147495836
16,43.60046418468554,41.30450655773991,45.87327383466199,33.734061385274224,31.957658840629364,35.49255413719954
17,41.636555253003095,39.288879639966645,43.94547942732723,32.21456782722778,30.3981506233325,34.00100270325721
18,39.71294026192055,37.349048034933226,42.05846634625505,30.726250044280764,28.89728590400052,32.541004138974415
19,37.833877477209654,35.47219548355464,40.18606342019283,29.272402693992998,27.445148630619094,31.092309579710157
20,36.003625164642074,33.66673012693145,38.335479983644895,27.856320433924274,26.048244255671968,29.660496950774725
21,34.22644158998952,31.931120630623887,36.504442991481255,26.481297921634418,24.705387972277872,28.243807577223237
22,32.50658501902371,30.285411671766127,34.696119698074874,25.15062981468325,23.432088522867346,26.844691991531402
23,30.848313717516344,28.73285741613795,32.93578965635998,23.86761077063057,22.2308636840335,25.48270920543046
24,29.255885951239105,27.256435490726677,31.236326978074864,22.635535447036194,21.088543096541166,24.167820032039742
25,27.73355998596371,25.8724501825296,29.58313314614159,21.457698501459934,20.017741530179936,22.88872947071076
26,26.285594087461853,24.55086061613355,27.999898491089937,20.337394591461607,18.995216096274085,21.663766937867692
27,24.91624652150524,23.30821113030473,26.50427705689227,19.27791837460102,18.033767294771348,20.506591522105087
28,23.62977555386558,22.14383550009877,25.11664906718229,18.28256450843799,17.132879661591474,19.43297158112191
29,22.430439450314562,21.050500900783387,23.82815609136281,17.354627650532326,16.286957096828868,18.436053269503198
30,21.322496476623904,20.009625755054298,22.64203617783281,16.497402458443844,15.481622871218384,17.518341893683225
31,20.308699694426515,19.026549367823506,21.578020996022477,15.713019000094045,14.721008051780165,16.69510401928782
32,19.385781348800116,18.1395832592573,20.63418491097233,14.998948984851129,14.03475459754424,15.964849765666777
33,18.54896848068368,17.311889698971587,19.794200386195413,14.35149953244501,13.39436083355579,15.314946374696508
34,17.793488131016137,16.559402455130524,19.043320603083455,13.766977762605576,12.812154855934882,14.733984103534327
35,17.11456734073645,15.874035216620799,18.36131336473969,13.24169079506273,12.281880214880397,14.206309124065395
36,16.507433150783555,15.25732230813483,17.752350291388023,12.771945749546367,11.804724030858301,13.735149055429565
37,15.967312602096412,14.712297971970937,17.227395328629225,12.35404974578639,11.383033923736022,13.328986798459153
38,15.489432735613958,14.225094769742213,16.753163085235933,11.98430990351269,11.006080534857684,12.962069154148274
39,15.069020592275159,13.80967678176931,16.327605698009496,11.659033342455176,10.68466799559056,12.632811672786504
40,14.701303213018942,13.438493469030057,15.960346258157008,11.374527182343734,10.397480212357427,12.348659824406486
41,14.38150763878427,13.12578577035246,15.63273611030912,11.127098542908271,10.155535524379928,12.095184980856052
42,14.104860910510094,12.865636144897222,15.35025018233008,10.913054543878683,9.954255478431573,11.876623141822508
43,13.866590069135349,12.639571224135738,15.106989661064972,10.728702304984864,9.779347067325627,11.688410343852954
44,13.661922155598992,12.44095660475204,14.890729842596901,10.570348945956713,9.625677195052665,11.521088226352823
45,13.486084210839975,12.280085216231678,14.690597104342942,10.434301586524136,9.50120959139384,11.36624377220058
46,13.334303275797238,12.137893248510961,14.520937515405372,10.316867346417023,9.391194419370319,11.234976660832746
47,13.201806391409738,12.021917786676292,14.36756525202415,10.214353345365275,9.301463187791127,11.116311196038959
48,13.083820598616418,11.921837393671822,14.228617792969185,10.12306670309879,9.224030110318044,11.00880632881476
49,12.975572938356228,11.823551072136585,14.103734467841516,10.039314539347465,9.147985121669343,10.912183005310473
50,12.87229045156812,11.735233064683506,13.981960129034887,9.959403973841201,9.079652705018288,10.817965131779282
51,12.769998469096626,11.64112974015279,13.860128059929128,9.880259770208461,9.006844137824352,10.723702591809529
52,12.667915481408622,11.556799487564628,13.74999479050007,9.801277267671965,8.94159708207296,10.6384915157131
53,12.566058268876581,11.46737695200222,13.639787434334423,9.72246944935301,8.872410082340313,10.553223118059057
54,12.464443611872966,11.378197012631883,13.529208692969634,9.643849298372885,8.803410781408314,10.4676673764205
55,12.36308829077024,11.285317047207258,13.414107410806247,9.565429797852877,8.731548737879955,10.37861250531692
56,12.262009085940877,11.196507970158326,13.29923119293757,9.487223930914283,8.66283637637738,10.289731768431295
57,12.161222777757333,11.10412625656603,13.190075763335308,9.409244680678386,8.591359834659873,10.205277255581588
58,12.06074614659208,11.017374423067274,13.082910977689496,9.331505030266483,8.524239180527937,10.122362921412977
59,11.96059597281758,10.923091751616008,12.970258245053085,9.254017962799859,8.451291851049234,10.035202514544869
60,11.860789036806308,10.836092921429309,12.863726397473446,9.176796461399812,8.383980093414415,9.95277789010703
61,11.761342118930717,10.745506145094778,12.755913873536443,9.099853509187623,8.31389231038947,9.869362395143796
62,11.662271999563282,10.652019549303347,12.64836700767028,9.02320208928459,8.241560911627982,9.786152442159
63,11.563595459076467,10.556681636638967,12.543771008511433,8.946855184812,8.167797132771385,9.705225600615924
64,11.46532927784274,10.469251123929732,12.433636059142506,8.870825778891147,8.100151378584316,9.620013224735292
65,11.36749023623456,10.37820571285882,12.327699192578548,8.795126854643318,8.029708745842978,9.538048942325487
66,11.270095114624397,10.288111424196611,12.218469171366534,8.719771395189804,7.960002004847751,9.45353671729337
67,11.173160693384721,10.20101256157549,12.115399889549273,8.644772383651897,7.892612851241434,9.373791110342221
68,11.07670375288799,10.109403729916464,12.010866831460758,8.570142803150887,7.82173429505156,9.292912966857065
69,10.980741073506676,10.021297398371287,11.910335635290691,8.495895636808065,7.7535656539062145,9.215131099022564
70,10.885289435613247,9.934885614200176,11.809508996213207,8.422043867744723,7.686708098920293,9.137120644420445
71,10.79036561958016,9.847517138239695,11.707246070303357,8.348600479082144,7.619110343109612,9.057998922104186
72,10.69598640577989,9.760935229682785,11.605385288324829,8.27557845394163,7.552121161394915,8.979188342073192
73,10.602168574584894,9.670768198085309,11.505485088902061,8.20299077544446,7.482358138552933,8.90189468195403
74,10.50892890636765,9.582758226889887,11.40644698352125,8.130850426711937,7.414264052254985,8.825268031553113
75,10.416284181500613,9.491671371848412,11.309485241852546,8.059170390865342,7.3437893539502825,8.750247881959751
76,10.324251180356253,9.40493782158849,11.21120127434208,7.987963651025968,7.276682845720522,8.674204714640654
77,10.232846683307038,9.322820978176296,11.117753290629729,7.917243190315107,7.213148324053551,8.601903190383263
78,10.142087470725428,9.235010485357938,11.020076667208304,7.847021991854047,7.145208575924765,8.526329930510446
79,10.051990322983894,9.150012390395514,10.92483610920901,7.7773130387640785,7.079444804673429,8.452641475811737
80,9.9625720204549,9.065406009550848,10.829891877889173,7.708129314166496,7.013984106069162,8.379182291662818
81,9.873849343510914,8.978572586584038,10.741816576263886,7.639483801182587,6.946800325450496,8.311037658638533
82,9.785839072524402,8.89465111341308,10.653640241847302,7.571389482933643,6.881869545917968,8.242814855657864
83,9.698557987867828,8.811080607412261,10.57133770592506,7.503859342540956,6.817210312761908,8.1791366620679
84,9.612022869913659,8.725531655290107,10.478181393830793,7.436906363125814,6.751020338496719,8.107060806698508
85,9.526250499034358,8.641895148563444,10.389556502949128,7.370543527809507,6.6863100400004445,8.038490951648308
86,9.441257655602396,8.556519349790536,10.301715732546448,7.304783819713328,6.620254035999603,7.970527777487089
87,9.357061119990234,8.47415890339995,10.217574079109033,7.239640221958567,6.55653103657258,7.90542664255208
88,9.273677672570345,8.395249986490875,10.134948138611206,7.175125717666513,6.4954785157649875,7.841498228006697
89,9.191124093715189,8.316849918230655,10.05572145961905,7.11125328995846,6.434819695618094,7.780199851889602
90,9.10941716379723,8.239841932053885,9.973801573896518,7.048035921955694,6.375237941583558,7.716817718113851
91,9.02857366318894,8.158741317409957,9.892214937700938,6.985486596779508,6.31248968502388,7.653693422418705
92,8.948610372262783,8.082616742573942,9.814215088611535,6.923618297551194,6.253591434088559,7.593344255352996
93,8.869544071391223,8.00772223788607,9.737685802136554,6.86244400739204,6.19564489921089,7.534132875474497
94,8.791391540946728,7.93183300612643,9.663626204574241,6.801976709423338,6.136928735277017,7.476832315559513
95,8.714169561301762,7.85606273413209,9.583881630007777,6.742229386766376,6.078304611556478,7.41513323909618
96,8.637894912828791,7.779487784794968,9.507929691648755,6.6832150225424485,6.019057901921215,7.356368558516615
97,8.562584375900286,7.705688936311519,9.429797582285266,6.624946599872844,5.961959085854535,7.295917060517319
98,8.488254730888704,7.633446454924698,9.350113850246935,6.567437101878851,5.906064444655198,7.2342650584514105
99,8.41492275816652,7.557251398008789,9.276698284868553,6.510699511681765,5.847111661116747,7.177462791883367
100,8.342605238106197,7.488448364111637,9.20373280711013,6.454746812402875,5.7938781505938275,7.121008762052807
101,8.271313387052288,7.4169816868056015,9.132165921674206,6.3995876822262945,5.738583755813274,7.065636835363633
102,8.201036165237728,7.349834108872487,9.06229605317217,6.345213579587459,5.686631086083124,7.0115779055539695
103,8.131756968867526,7.282650072620643,8.992481831380644,6.291611657984622,5.634650208232145,6.957562030092081
104,8.063459194146704,7.211686405150604,8.92281594988235,6.238769070916041,5.579744996571591,6.903660926815567
105,7.996126237280279,7.145599246486766,8.854799954055673,6.186672971879971,5.5286127825267855,6.851036354547743
106,7.929741494473271,7.079187824870797,8.786490109635741,6.135310514374671,5.477229683393099,6.798184429047144
107,7.864288361930697,7.016064314962977,8.72189346897798,6.084668851898398,5.428390470373154,6.74820544185102
108,7.799750235857572,6.952277150338493,8.660294822620134,6.034735137949405,5.37903778188066,6.700546029128179
109,7.736110512458918,6.888153153579542,8.595905029239931,5.985496526025955,5.329424483412718,6.650727081484135
110,7.673352587939751,6.832266576414259,8.532567152358217,5.9369401696263,5.2861845487019155,6.60172201085713
111,7.611459858505088,6.775202740028162,8.4682269692074,5.889053222248696,5.242033758210928,6.551941447082497
112,7.5504157203599505,6.712144098096552,8.40531949749903,5.841822837391405,5.193244734112874,6.503269384711473
113,7.49020356970935,6.655162189750782,8.34208826219959,5.7952361685526785,5.149157332064951,6.454346823611601
114,7.430806802758312,6.598756943617885,8.280905056089619,5.749280369230776,5.1055160986267305,6.407008840650709
115,7.37220881571185,6.541290462718201,8.221268984495815,5.703942592923955,5.061053778545594,6.3608678892287145
116,7.314393004774978,6.483278561703702,8.157959085837607,5.659209993130467,5.016169462139922,6.311884465598522
117,7.257342766152723,6.4274287445429605,8.099466596794844,5.615069723348577,4.972957968966909,6.266628314022065
118,7.201041496050097,6.374067585651506,8.041486614818274,5.571508937076535,4.931671972514927,6.221768693655873
119,7.145472590672119,6.316936100259141,7.983000063793092,5.5285147878126,4.88746884139471,6.1765171363756775
120,7.0906194462238075,6.263517265801975,7.921010269695903,5.48607442905503,4.846138220851896,6.128555089217711
121,7.036465458910179,6.2106173164384755,7.8637273410604545,5.44417501430208,4.805209066255119,6.084234785132616
